subproject,gem_id,library_id,library_name,type,donor_id
BCLLATLAS_33,mLuLpVxi_v0fLyotc,167867,BCLL_8_T_1_GEX,GEX,BCLL-8-T
BCLLATLAS_33,mLuLpVxi_v0fLyotc,167873,BCLL_8_T_1_CSP,CSP,BCLL-8-T
BCLLATLAS_33,mLuLpVxi_v0fLyotc,167871,BCLL_8_T_1_TCR,TCR,BCLL-8-T
BCLLATLAS_33,mLuLpVxi_v0fLyotc,167869,BCLL_8_T_1_BCR,BCR,BCLL-8-T
BCLLATLAS_33,ifZOgenn_TpMNTvBa,167868,BCLL_8_T_2_GEX,GEX,BCLL-8-T
BCLLATLAS_33,ifZOgenn_TpMNTvBa,167874,BCLL_8_T_2_CSP,CSP,BCLL-8-T
BCLLATLAS_33,ifZOgenn_TpMNTvBa,167872,BCLL_8_T_2_TCR,TCR,BCLL-8-T
BCLLATLAS_33,ifZOgenn_TpMNTvBa,167870,BCLL_8_T_2_BCR,BCR,BCLL-8-T
BCLLATLAS_38,WToIzInl_LudU7hVX,175621,Tonsil_0.25M_1_GEX,GEX,multiplexed
BCLLATLAS_38,WToIzInl_LudU7hVX,175633,Tonsil_0.25M_1_CSP,CSP,multiplexed
BCLLATLAS_38,WToIzInl_LudU7hVX,175629,Tonsil_0.25M_1_TCR,TCR,multiplexed
BCLLATLAS_38,WToIzInl_LudU7hVX,175625,Tonsil_0.25M_1_BCR,BCR,multiplexed
BCLLATLAS_38,B20O1bh7_VmM99YZJ,175622,Tonsil_1M_1_GEX,GEX,multiplexed
BCLLATLAS_38,B20O1bh7_VmM99YZJ,175634,Tonsil_1M_1_CSP,CSP,multiplexed
BCLLATLAS_38,B20O1bh7_VmM99YZJ,175630,Tonsil_1M_1_TCR,TCR,multiplexed
BCLLATLAS_38,B20O1bh7_VmM99YZJ,175626,Tonsil_1M_1_BCR,BCR,multiplexed
BCLLATLAS_38,rdFRFhrU_ZdYeOZlf,175623,Tonsil_1M_2_GEX,GEX,multiplexed
BCLLATLAS_38,rdFRFhrU_ZdYeOZlf,175635,Tonsil_1M_2_CSP,CSP,multiplexed
BCLLATLAS_38,rdFRFhrU_ZdYeOZlf,175631,Tonsil_1M_2_TCR,TCR,multiplexed
BCLLATLAS_38,rdFRFhrU_ZdYeOZlf,175627,Tonsil_1M_2_BCR,BCR,multiplexed
BCLLATLAS_40,CfdzDgHe_IMOTbrIP,182633,BCLL_9_T_1_GEX,GEX,BCLL-9-T
BCLLATLAS_40,CfdzDgHe_IMOTbrIP,182648,BCLL_9_T_1_CSP,CSP,BCLL-9-T
BCLLATLAS_40,CfdzDgHe_IMOTbrIP,182643,BCLL_9_T_1_TCR,TCR,BCLL-9-T
BCLLATLAS_40,CfdzDgHe_IMOTbrIP,182638,BCLL_9_T_1_BCR,BCR,BCLL-9-T
BCLLATLAS_40,uqJAc4r9_BYScOzxA,182634,BCLL_9_T_2_GEX,GEX,BCLL-9-T
BCLLATLAS_40,uqJAc4r9_BYScOzxA,182649,BCLL_9_T_2_CSP,CSP,BCLL-9-T
BCLLATLAS_40,uqJAc4r9_BYScOzxA,182644,BCLL_9_T_2_TCR,TCR,BCLL-9-T
BCLLATLAS_40,uqJAc4r9_BYScOzxA,182639,BCLL_9_T_2_BCR,BCR,BCLL-9-T
BCLLATLAS_40,ujxNn2kq_lG2VLlYd,182635,BCLL_9_T_3_GEX,GEX,BCLL-9-T
