library_id,fastq_path,read,pair_id,type
175621,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-GA-F10_1.fastq.gz,R1,P1,GEX
175621,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-GA-F10_1.fastq.gz,R1,P2,GEX
175621,/scratch/project/production/fastq/HMJNGDRXX/1/fastq/HMJNGDRXX_1_SI-GA-F10_1.fastq.gz,R1,P3,GEX
175621,/scratch/project/production/fastq/HMJNGDRXX/2/fastq/HMJNGDRXX_2_SI-GA-F10_1.fastq.gz,R1,P4,GEX
175622,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-GA-F11_1.fastq.gz,R1,P5,GEX
175622,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-GA-F11_1.fastq.gz,R1,P6,GEX
175622,/scratch/project/production/fastq/HMJNGDRXX/1/fastq/HMJNGDRXX_1_SI-GA-F11_1.fastq.gz,R1,P7,GEX
175622,/scratch/project/production/fastq/HMJNGDRXX/2/fastq/HMJNGDRXX_2_SI-GA-F11_1.fastq.gz,R1,P8,GEX
175623,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-GA-F12_1.fastq.gz,R1,P9,GEX
175623,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-GA-F12_1.fastq.gz,R1,P10,GEX
175623,/scratch/project/production/fastq/HMJNGDRXX/1/fastq/HMJNGDRXX_1_SI-GA-F12_1.fastq.gz,R1,P11,GEX
175623,/scratch/project/production/fastq/HMJNGDRXX/2/fastq/HMJNGDRXX_2_SI-GA-F12_1.fastq.gz,R1,P12,GEX
175625,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-GA-G7_1.fastq.gz,R1,P13,BCR
175625,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-GA-G7_1.fastq.gz,R1,P14,BCR
175625,/scratch/project/production/fastq/HMJNGDRXX/1/fastq/HMJNGDRXX_1_SI-GA-G7_1.fastq.gz,R1,P15,BCR
175625,/scratch/project/production/fastq/HMJNGDRXX/2/fastq/HMJNGDRXX_2_SI-GA-G7_1.fastq.gz,R1,P16,BCR
