project	subproject	id	SampleName	sample	library	SubprojectId	material	aliquot	flowcell	lane	index	libraryPassFail	LanePassFail	libApplication	Kit	Organism	Sex	pedigree	cohort	GenomeRef	SplitIndexcohort	SubprojectCov	motherId	fatherId	library__gbs_index__multiplex_index_name	readLength	sampleStatus	mappingVersion	mapperName	mapperVersion
BCLLATLAS	BCLLATLAS_38	175621	Tonsil_0.25M_1_GEX	AR5351	AR5351	4698	Cells in lysis buffer	None	HMHKYDRXX	1	SI-GA-F10	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_38	175621	Tonsil_0.25M_1_GEX	AR5351	AR5351	4698	Cells in lysis buffer	None	HMHKYDRXX	2	SI-GA-F10	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_38	175621	Tonsil_0.25M_1_GEX	AR5351	AR5351	4698	Cells in lysis buffer	None	HMJNGDRXX	1	SI-GA-F10	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_38	175621	Tonsil_0.25M_1_GEX	AR5351	AR5351	4698	Cells in lysis buffer	None	HMJNGDRXX	2	SI-GA-F10	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_38	175622	Tonsil_1M_1_GEX	AR5352	AR5352	4698	Cells in lysis buffer	None	HMHKYDRXX	1	SI-GA-F11	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_38	175622	Tonsil_1M_1_GEX	AR5352	AR5352	4698	Cells in lysis buffer	None	HMHKYDRXX	2	SI-GA-F11	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_38	175622	Tonsil_1M_1_GEX	AR5352	AR5352	4698	Cells in lysis buffer	None	HMJNGDRXX	1	SI-GA-F11	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_38	175622	Tonsil_1M_1_GEX	AR5352	AR5352	4698	Cells in lysis buffer	None	HMJNGDRXX	2	SI-GA-F11	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_38	175623	Tonsil_1M_2_GEX	AR5353	AR5353	4698	Cells in lysis buffer	None	HMHKYDRXX	1	SI-GA-F12	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_38	175623	Tonsil_1M_2_GEX	AR5353	AR5353	4698	Cells in lysis buffer	None	HMHKYDRXX	2	SI-GA-F12	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_38	175623	Tonsil_1M_2_GEX	AR5353	AR5353	4698	Cells in lysis buffer	None	HMJNGDRXX	1	SI-GA-F12	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_38	175623	Tonsil_1M_2_GEX	AR5353	AR5353	4698	Cells in lysis buffer	None	HMJNGDRXX	2	SI-GA-F12	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_38	175624	PBMCs_0.25M_GEX	AR5354	AR5354	4698	Cells in lysis buffer	None	HMHKYDRXX	1	SI-GA-G1	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_38	175624	PBMCs_0.25M_GEX	AR5354	AR5354	4698	Cells in lysis buffer	None	HMHKYDRXX	2	SI-GA-G1	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
