Library or Sample,Library Type,Grouped By,Group Name,Metric Name,Metric Value
Library,Antibody Capture,Fastq ID,B20O1bh7_VmM99YZJ_csp,Number of reads,"23,395,555"
Library,Antibody Capture,Fastq ID,B20O1bh7_VmM99YZJ_csp,Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,B20O1bh7_VmM99YZJ_csp,Q30 RNA read,97.0%
Library,Antibody Capture,Fastq ID,B20O1bh7_VmM99YZJ_csp,Q30 UMI,98.1%
Library,Antibody Capture,Fastq ID,B20O1bh7_VmM99YZJ_csp,Q30 barcodes,98.3%
Library,Antibody Capture,Fastq ID,B20O1bh7_VmM99YZJ_csp (2),Number of reads,"23,775,799"
Library,Antibody Capture,Fastq ID,B20O1bh7_VmM99YZJ_csp (2),Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,B20O1bh7_VmM99YZJ_csp (2),Q30 RNA read,97.0%
Library,Antibody Capture,Fastq ID,B20O1bh7_VmM99YZJ_csp (2),Q30 UMI,98.1%
Library,Antibody Capture,Fastq ID,B20O1bh7_VmM99YZJ_csp (2),Q30 barcodes,98.3%
Library,Antibody Capture,Physical library ID,ABC_1,Estimated number of cells,"2,269"
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads,97.32%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads in aggregate barcodes,19.20%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads usable,4.81%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction reads in cells,5.05%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction unrecognized antibody,2.68%
Library,Antibody Capture,Physical library ID,ABC_1,Mean reads per cell,"20,789"
Library,Antibody Capture,Physical library ID,ABC_1,Number of reads,"47,171,354"
Library,Antibody Capture,Physical library ID,ABC_1,Valid UMIs,100.00%
Library,Antibody Capture,Physical library ID,ABC_1,Valid barcodes,98.48%
Library,Gene Expression,Fastq ID,B20O1bh7_VmM99YZJ_gex,Number of reads,"9,035,039"
Library,Gene Expression,Fastq ID,B20O1bh7_VmM99YZJ_gex,Number of short reads skipped,0
Library,Gene Expression,Fastq ID,B20O1bh7_VmM99YZJ_gex,Q30 RNA read,91.6%
Library,Gene Expression,Fastq ID,B20O1bh7_VmM99YZJ_gex,Q30 UMI,97.3%
Library,Gene Expression,Fastq ID,B20O1bh7_VmM99YZJ_gex,Q30 barcodes,97.3%
Library,Gene Expression,Fastq ID,B20O1bh7_VmM99YZJ_gex (2),Number of reads,"44,016,073"
Library,Gene Expression,Fastq ID,B20O1bh7_VmM99YZJ_gex (2),Number of short reads skipped,0
Library,Gene Expression,Fastq ID,B20O1bh7_VmM99YZJ_gex (2),Q30 RNA read,91.0%
Library,Gene Expression,Fastq ID,B20O1bh7_VmM99YZJ_gex (2),Q30 UMI,97.6%
Library,Gene Expression,Fastq ID,B20O1bh7_VmM99YZJ_gex (2),Q30 barcodes,97.5%
