Library or Sample,Library Type,Grouped By,Group Name,Metric Name,Metric Value
Library,Antibody Capture,Fastq ID,WToIzInl_LudU7hVX_csp,Number of reads,"20,780,545"
Library,Antibody Capture,Fastq ID,WToIzInl_LudU7hVX_csp,Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,WToIzInl_LudU7hVX_csp,Q30 RNA read,96.9%
Library,Antibody Capture,Fastq ID,WToIzInl_LudU7hVX_csp,Q30 UMI,98.1%
Library,Antibody Capture,Fastq ID,WToIzInl_LudU7hVX_csp,Q30 barcodes,98.3%
Library,Antibody Capture,Fastq ID,WToIzInl_LudU7hVX_csp (2),Number of reads,"21,149,830"
Library,Antibody Capture,Fastq ID,WToIzInl_LudU7hVX_csp (2),Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,WToIzInl_LudU7hVX_csp (2),Q30 RNA read,96.9%
Library,Antibody Capture,Fastq ID,WToIzInl_LudU7hVX_csp (2),Q30 UMI,98.1%
Library,Antibody Capture,Fastq ID,WToIzInl_LudU7hVX_csp (2),Q30 barcodes,98.3%
Library,Antibody Capture,Physical library ID,ABC_1,Estimated number of cells,"1,855"
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads,97.28%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads in aggregate barcodes,9.70%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads usable,4.17%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction reads in cells,4.51%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction unrecognized antibody,2.72%
Library,Antibody Capture,Physical library ID,ABC_1,Mean reads per cell,"22,604"
Library,Antibody Capture,Physical library ID,ABC_1,Number of reads,"41,930,375"
Library,Antibody Capture,Physical library ID,ABC_1,Valid UMIs,100.00%
Library,Antibody Capture,Physical library ID,ABC_1,Valid barcodes,98.49%
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex,Number of reads,"9,328,236"
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex,Number of short reads skipped,0
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex,Q30 RNA read,89.7%
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex,Q30 UMI,97.2%
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex,Q30 barcodes,97.2%
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex (2),Number of reads,"47,599,678"
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex (2),Number of short reads skipped,0
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex (2),Q30 RNA read,89.2%
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex (2),Q30 UMI,97.6%
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex (2),Q30 barcodes,97.6%
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex (3),Number of reads,"9,229,268"
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex (3),Number of short reads skipped,0
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex (3),Q30 RNA read,89.6%
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex (3),Q30 UMI,97.2%
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex (3),Q30 barcodes,97.2%
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex (4),Number of reads,"49,022,609"
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex (4),Number of short reads skipped,0
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex (4),Q30 RNA read,89.5%
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex (4),Q30 UMI,97.6%
Library,Gene Expression,Fastq ID,WToIzInl_LudU7hVX_gex (4),Q30 barcodes,97.6%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped antisense,17.37%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to exonic regions,40.44%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to genome,74.37%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to intergenic regions,22.00%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to intronic regions,11.94%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to transcriptome,21.89%
Library,Gene Expression,Physical library ID,GEX_1,Estimated number of cells,"1,855"
Library,Gene Expression,Physical library ID,GEX_1,Fraction reads in cells,76.56%
Library,Gene Expression,Physical library ID,GEX_1,Mapped to genome,87.16%
Library,Gene Expression,Physical library ID,GEX_1,Mean reads per cell,"62,092"
Library,Gene Expression,Physical library ID,GEX_1,Number of reads,"115,179,791"
Library,Gene Expression,Physical library ID,GEX_1,Number of reads in the library,"115,179,791"
Library,Gene Expression,Physical library ID,GEX_1,Sequencing saturation,88.73%
Library,Gene Expression,Physical library ID,GEX_1,Valid UMIs,99.98%
Library,Gene Expression,Physical library ID,GEX_1,Valid barcodes,63.99%
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr,Number of reads,"10,182,898"
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr,Number of short reads skipped,0
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr,Q30 RNA read,90.1%
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr,Q30 UMI,96.7%
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr,Q30 barcodes,96.6%
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr (2),Number of reads,"9,856,637"
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr (2),Number of short reads skipped,0
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr (2),Q30 RNA read,89.3%
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr (2),Q30 UMI,96.8%
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr (2),Q30 barcodes,96.7%
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr (3),Number of reads,"9,922,234"
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr (3),Number of short reads skipped,0
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr (3),Q30 RNA read,90.1%
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr (3),Q30 UMI,96.7%
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr (3),Q30 barcodes,96.6%
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr (4),Number of reads,"10,132,087"
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr (4),Number of short reads skipped,0
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr (4),Q30 RNA read,90.0%
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr (4),Q30 UMI,96.8%
Library,VDJ B,Fastq ID,WToIzInl_LudU7hVX_bcr (4),Q30 barcodes,96.7%
Library,VDJ B,Physical library ID,VDJB_1,Estimated number of cells,464
Library,VDJ B,Physical library ID,VDJB_1,Fraction reads in cells,75.77%
Library,VDJ B,Physical library ID,VDJB_1,Mean reads per cell,"86,409"
Library,VDJ B,Physical library ID,VDJB_1,Mean used reads per cell,"18,139"
Library,VDJ B,Physical library ID,VDJB_1,Number of reads,"40,093,856"
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to IGH,45.94%
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to IGK,15.02%
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to IGL,11.42%
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to any V(D)J gene,72.46%
Library,VDJ B,Physical library ID,VDJB_1,Valid barcodes,88.44%
Library,VDJ T,Fastq ID,WToIzInl_LudU7hVX_tcr,Number of reads,"48,427,751"
Library,VDJ T,Fastq ID,WToIzInl_LudU7hVX_tcr,Number of short reads skipped,0
Library,VDJ T,Fastq ID,WToIzInl_LudU7hVX_tcr,Q30 RNA read,91.8%
Library,VDJ T,Fastq ID,WToIzInl_LudU7hVX_tcr,Q30 UMI,97.1%
Library,VDJ T,Fastq ID,WToIzInl_LudU7hVX_tcr,Q30 barcodes,97.1%
Library,VDJ T,Fastq ID,WToIzInl_LudU7hVX_tcr (2),Number of reads,"14,048,749"
Library,VDJ T,Fastq ID,WToIzInl_LudU7hVX_tcr (2),Number of short reads skipped,0
Library,VDJ T,Fastq ID,WToIzInl_LudU7hVX_tcr (2),Q30 RNA read,91.3%
Library,VDJ T,Fastq ID,WToIzInl_LudU7hVX_tcr (2),Q30 UMI,97.3%
Library,VDJ T,Fastq ID,WToIzInl_LudU7hVX_tcr (2),Q30 barcodes,97.3%
Library,VDJ T,Fastq ID,WToIzInl_LudU7hVX_tcr (3),Number of reads,"47,522,189"
Library,VDJ T,Fastq ID,WToIzInl_LudU7hVX_tcr (3),Number of short reads skipped,0
Library,VDJ T,Fastq ID,WToIzInl_LudU7hVX_tcr (3),Q30 RNA read,91.8%
Library,VDJ T,Fastq ID,WToIzInl_LudU7hVX_tcr (3),Q30 UMI,97.1%
Library,VDJ T,Fastq ID,WToIzInl_LudU7hVX_tcr (3),Q30 barcodes,97.1%
Library,VDJ T,Fastq ID,WToIzInl_LudU7hVX_tcr (4),Number of reads,"14,422,552"
Library,VDJ T,Fastq ID,WToIzInl_LudU7hVX_tcr (4),Number of short reads skipped,0
