Library or Sample,Library Type,Grouped By,Group Name,Metric Name,Metric Value
Library,Antibody Capture,Fastq ID,rdFRFhrU_ZdYeOZlf_csp,Number of reads,"21,185,771"
Library,Antibody Capture,Fastq ID,rdFRFhrU_ZdYeOZlf_csp,Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,rdFRFhrU_ZdYeOZlf_csp,Q30 RNA read,96.9%
Library,Antibody Capture,Fastq ID,rdFRFhrU_ZdYeOZlf_csp,Q30 UMI,98.1%
Library,Antibody Capture,Fastq ID,rdFRFhrU_ZdYeOZlf_csp,Q30 barcodes,98.3%
Library,Antibody Capture,Fastq ID,rdFRFhrU_ZdYeOZlf_csp (2),Number of reads,"21,512,079"
Library,Antibody Capture,Fastq ID,rdFRFhrU_ZdYeOZlf_csp (2),Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,rdFRFhrU_ZdYeOZlf_csp (2),Q30 RNA read,97.0%
Library,Antibody Capture,Fastq ID,rdFRFhrU_ZdYeOZlf_csp (2),Q30 UMI,98.1%
Library,Antibody Capture,Fastq ID,rdFRFhrU_ZdYeOZlf_csp (2),Q30 barcodes,98.3%
Library,Antibody Capture,Physical library ID,ABC_1,Estimated number of cells,"2,565"
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads,97.28%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads in aggregate barcodes,6.90%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads usable,5.47%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction reads in cells,5.72%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction unrecognized antibody,2.72%
Library,Antibody Capture,Physical library ID,ABC_1,Mean reads per cell,"16,646"
Library,Antibody Capture,Physical library ID,ABC_1,Number of reads,"42,697,850"
Library,Antibody Capture,Physical library ID,ABC_1,Valid UMIs,100.00%
Library,Antibody Capture,Physical library ID,ABC_1,Valid barcodes,98.49%
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex,Number of reads,"9,438,398"
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex,Number of short reads skipped,0
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex,Q30 RNA read,90.8%
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex,Q30 UMI,97.3%
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex,Q30 barcodes,97.3%
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex (2),Number of reads,"9,546,303"
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex (2),Number of short reads skipped,0
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex (2),Q30 RNA read,90.9%
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex (2),Q30 UMI,97.3%
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex (2),Q30 barcodes,97.3%
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex (3),Number of reads,"60,630,301"
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex (3),Number of short reads skipped,0
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex (3),Q30 RNA read,90.7%
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex (3),Q30 UMI,97.6%
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex (3),Q30 barcodes,97.5%
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex (4),Number of reads,"58,953,760"
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex (4),Number of short reads skipped,0
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex (4),Q30 RNA read,90.3%
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex (4),Q30 UMI,97.6%
Library,Gene Expression,Fastq ID,rdFRFhrU_ZdYeOZlf_gex (4),Q30 barcodes,97.6%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped antisense,17.26%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to exonic regions,41.42%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to genome,76.75%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to intergenic regions,23.21%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to intronic regions,12.12%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to transcriptome,22.97%
Library,Gene Expression,Physical library ID,GEX_1,Estimated number of cells,"2,565"
Library,Gene Expression,Physical library ID,GEX_1,Fraction reads in cells,70.05%
Library,Gene Expression,Physical library ID,GEX_1,Mapped to genome,91.71%
Library,Gene Expression,Physical library ID,GEX_1,Mean reads per cell,"54,023"
Library,Gene Expression,Physical library ID,GEX_1,Number of reads,"138,568,762"
Library,Gene Expression,Physical library ID,GEX_1,Number of reads in the library,"138,568,762"
Library,Gene Expression,Physical library ID,GEX_1,Sequencing saturation,82.73%
Library,Gene Expression,Physical library ID,GEX_1,Valid UMIs,99.98%
Library,Gene Expression,Physical library ID,GEX_1,Valid barcodes,63.94%
Library,VDJ B,Fastq ID,rdFRFhrU_ZdYeOZlf_bcr,Number of reads,"10,053,380"
Library,VDJ B,Fastq ID,rdFRFhrU_ZdYeOZlf_bcr,Number of short reads skipped,0
Library,VDJ B,Fastq ID,rdFRFhrU_ZdYeOZlf_bcr,Q30 RNA read,90.9%
