Library or Sample,Library Type,Grouped By,Group Name,Metric Name,Metric Value
Library,Antibody Capture,Fastq ID,CfdzDgHe_IMOTbrIP_csp,Number of reads,"20,963,052"
Library,Antibody Capture,Fastq ID,CfdzDgHe_IMOTbrIP_csp,Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,CfdzDgHe_IMOTbrIP_csp,Q30 RNA read,95.6%
Library,Antibody Capture,Fastq ID,CfdzDgHe_IMOTbrIP_csp,Q30 UMI,95.6%
Library,Antibody Capture,Fastq ID,CfdzDgHe_IMOTbrIP_csp,Q30 barcodes,96.3%
Library,Antibody Capture,Fastq ID,CfdzDgHe_IMOTbrIP_csp (2),Number of reads,"21,686,660"
Library,Antibody Capture,Fastq ID,CfdzDgHe_IMOTbrIP_csp (2),Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,CfdzDgHe_IMOTbrIP_csp (2),Q30 RNA read,95.5%
Library,Antibody Capture,Fastq ID,CfdzDgHe_IMOTbrIP_csp (2),Q30 UMI,95.7%
Library,Antibody Capture,Fastq ID,CfdzDgHe_IMOTbrIP_csp (2),Q30 barcodes,96.4%
Library,Antibody Capture,Physical library ID,ABC_1,Estimated number of cells,"2,799"
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads,97.28%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads in aggregate barcodes,5.20%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads usable,9.87%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction reads in cells,10.45%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction unrecognized antibody,2.72%
Library,Antibody Capture,Physical library ID,ABC_1,Mean reads per cell,"15,237"
Library,Antibody Capture,Physical library ID,ABC_1,Number of reads,"42,649,712"
Library,Antibody Capture,Physical library ID,ABC_1,Valid UMIs,100.00%
Library,Antibody Capture,Physical library ID,ABC_1,Valid barcodes,98.33%
Library,Gene Expression,Fastq ID,CfdzDgHe_IMOTbrIP_gex,Number of reads,"106,649,868"
Library,Gene Expression,Fastq ID,CfdzDgHe_IMOTbrIP_gex,Number of short reads skipped,0
Library,Gene Expression,Fastq ID,CfdzDgHe_IMOTbrIP_gex,Q30 RNA read,89.3%
Library,Gene Expression,Fastq ID,CfdzDgHe_IMOTbrIP_gex,Q30 UMI,95.7%
Library,Gene Expression,Fastq ID,CfdzDgHe_IMOTbrIP_gex,Q30 barcodes,96.1%
Library,Gene Expression,Fastq ID,CfdzDgHe_IMOTbrIP_gex (2),Number of reads,"106,773,546"
Library,Gene Expression,Fastq ID,CfdzDgHe_IMOTbrIP_gex (2),Number of short reads skipped,0
Library,Gene Expression,Fastq ID,CfdzDgHe_IMOTbrIP_gex (2),Q30 RNA read,89.1%
Library,Gene Expression,Fastq ID,CfdzDgHe_IMOTbrIP_gex (2),Q30 UMI,95.8%
Library,Gene Expression,Fastq ID,CfdzDgHe_IMOTbrIP_gex (2),Q30 barcodes,96.2%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped antisense,16.60%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to exonic regions,39.51%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to genome,74.44%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to intergenic regions,21.73%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to intronic regions,13.20%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to transcriptome,21.77%
Library,Gene Expression,Physical library ID,GEX_1,Estimated number of cells,"2,799"
Library,Gene Expression,Physical library ID,GEX_1,Fraction reads in cells,77.38%
