Library or Sample,Library Type,Grouped By,Group Name,Metric Name,Metric Value
Library,Antibody Capture,Fastq ID,LxBTpkPO_8TcNpBg4_csp,Number of reads,"20,573,165"
Library,Antibody Capture,Fastq ID,LxBTpkPO_8TcNpBg4_csp,Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,LxBTpkPO_8TcNpBg4_csp,Q30 RNA read,95.6%
Library,Antibody Capture,Fastq ID,LxBTpkPO_8TcNpBg4_csp,Q30 UMI,95.6%
Library,Antibody Capture,Fastq ID,LxBTpkPO_8TcNpBg4_csp,Q30 barcodes,96.4%
Library,Antibody Capture,Fastq ID,LxBTpkPO_8TcNpBg4_csp (2),Number of reads,"21,311,910"
Library,Antibody Capture,Fastq ID,LxBTpkPO_8TcNpBg4_csp (2),Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,LxBTpkPO_8TcNpBg4_csp (2),Q30 RNA read,95.6%
Library,Antibody Capture,Fastq ID,LxBTpkPO_8TcNpBg4_csp (2),Q30 UMI,95.7%
Library,Antibody Capture,Fastq ID,LxBTpkPO_8TcNpBg4_csp (2),Q30 barcodes,96.5%
Library,Antibody Capture,Physical library ID,ABC_1,Estimated number of cells,"3,016"
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads,97.28%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads in aggregate barcodes,5.90%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads usable,11.26%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction reads in cells,11.79%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction unrecognized antibody,2.72%
Library,Antibody Capture,Physical library ID,ABC_1,Mean reads per cell,"13,888"
Library,Antibody Capture,Physical library ID,ABC_1,Number of reads,"41,885,075"
Library,Antibody Capture,Physical library ID,ABC_1,Valid UMIs,100.00%
Library,Antibody Capture,Physical library ID,ABC_1,Valid barcodes,98.40%
Library,Gene Expression,Fastq ID,LxBTpkPO_8TcNpBg4_gex,Number of reads,"105,723,415"
Library,Gene Expression,Fastq ID,LxBTpkPO_8TcNpBg4_gex,Number of short reads skipped,0
Library,Gene Expression,Fastq ID,LxBTpkPO_8TcNpBg4_gex,Q30 RNA read,87.5%
Library,Gene Expression,Fastq ID,LxBTpkPO_8TcNpBg4_gex,Q30 UMI,95.9%
Library,Gene Expression,Fastq ID,LxBTpkPO_8TcNpBg4_gex,Q30 barcodes,96.3%
Library,Gene Expression,Fastq ID,LxBTpkPO_8TcNpBg4_gex (2),Number of reads,"105,431,720"
Library,Gene Expression,Fastq ID,LxBTpkPO_8TcNpBg4_gex (2),Number of short reads skipped,0
Library,Gene Expression,Fastq ID,LxBTpkPO_8TcNpBg4_gex (2),Q30 RNA read,87.7%
Library,Gene Expression,Fastq ID,LxBTpkPO_8TcNpBg4_gex (2),Q30 UMI,95.8%
Library,Gene Expression,Fastq ID,LxBTpkPO_8TcNpBg4_gex (2),Q30 barcodes,96.2%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped antisense,17.01%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to exonic regions,40.63%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to genome,71.59%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to intergenic regions,17.89%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to intronic regions,13.08%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to transcriptome,22.44%
Library,Gene Expression,Physical library ID,GEX_1,Estimated number of cells,"3,016"
Library,Gene Expression,Physical library ID,GEX_1,Fraction reads in cells,76.09%
Library,Gene Expression,Physical library ID,GEX_1,Mapped to genome,84.86%
Library,Gene Expression,Physical library ID,GEX_1,Mean reads per cell,"70,012"
Library,Gene Expression,Physical library ID,GEX_1,Number of reads,"211,155,135"
Library,Gene Expression,Physical library ID,GEX_1,Number of reads in the library,"211,155,135"
Library,Gene Expression,Physical library ID,GEX_1,Sequencing saturation,86.07%
Library,Gene Expression,Physical library ID,GEX_1,Valid UMIs,99.97%
Library,Gene Expression,Physical library ID,GEX_1,Valid barcodes,67.99%
Library,VDJ B,Fastq ID,LxBTpkPO_8TcNpBg4_bcr,Number of reads,"12,722,057"
Library,VDJ B,Fastq ID,LxBTpkPO_8TcNpBg4_bcr,Number of short reads skipped,0
Library,VDJ B,Fastq ID,LxBTpkPO_8TcNpBg4_bcr,Q30 RNA read,89.1%
Library,VDJ B,Fastq ID,LxBTpkPO_8TcNpBg4_bcr,Q30 UMI,94.5%
Library,VDJ B,Fastq ID,LxBTpkPO_8TcNpBg4_bcr,Q30 barcodes,95.2%
Library,VDJ B,Fastq ID,LxBTpkPO_8TcNpBg4_bcr (2),Number of reads,"12,803,929"
Library,VDJ B,Fastq ID,LxBTpkPO_8TcNpBg4_bcr (2),Number of short reads skipped,0
Library,VDJ B,Fastq ID,LxBTpkPO_8TcNpBg4_bcr (2),Q30 RNA read,88.6%
Library,VDJ B,Fastq ID,LxBTpkPO_8TcNpBg4_bcr (2),Q30 UMI,94.6%
Library,VDJ B,Fastq ID,LxBTpkPO_8TcNpBg4_bcr (2),Q30 barcodes,95.3%
Library,VDJ B,Physical library ID,VDJB_1,Estimated number of cells,"1,078"
Library,VDJ B,Physical library ID,VDJB_1,Fraction reads in cells,78.37%
Library,VDJ B,Physical library ID,VDJB_1,Mean reads per cell,"23,679"
Library,VDJ B,Physical library ID,VDJB_1,Mean used reads per cell,"9,095"
Library,VDJ B,Physical library ID,VDJB_1,Number of reads,"25,525,986"
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to IGH,52.15%
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to IGK,9.48%
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to IGL,6.53%
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to any V(D)J gene,68.19%
Library,VDJ B,Physical library ID,VDJB_1,Valid barcodes,85.42%
Library,VDJ T,Fastq ID,LxBTpkPO_8TcNpBg4_tcr,Number of reads,"40,144,763"
Library,VDJ T,Fastq ID,LxBTpkPO_8TcNpBg4_tcr,Number of short reads skipped,0
Library,VDJ T,Fastq ID,LxBTpkPO_8TcNpBg4_tcr,Q30 RNA read,91.8%
Library,VDJ T,Fastq ID,LxBTpkPO_8TcNpBg4_tcr,Q30 UMI,95.4%
Library,VDJ T,Fastq ID,LxBTpkPO_8TcNpBg4_tcr,Q30 barcodes,95.9%
Library,VDJ T,Fastq ID,LxBTpkPO_8TcNpBg4_tcr (2),Number of reads,"40,398,254"
Library,VDJ T,Fastq ID,LxBTpkPO_8TcNpBg4_tcr (2),Number of short reads skipped,0
Library,VDJ T,Fastq ID,LxBTpkPO_8TcNpBg4_tcr (2),Q30 RNA read,91.6%
Library,VDJ T,Fastq ID,LxBTpkPO_8TcNpBg4_tcr (2),Q30 UMI,95.5%
Library,VDJ T,Fastq ID,LxBTpkPO_8TcNpBg4_tcr (2),Q30 barcodes,96.0%
Library,VDJ T,Physical library ID,VDJT_1,Estimated number of cells,290
Library,VDJ T,Physical library ID,VDJT_1,Fraction reads in cells,9.07%
Library,VDJ T,Physical library ID,VDJT_1,Mean reads per cell,"277,735"
Library,VDJ T,Physical library ID,VDJT_1,Mean used reads per cell,"7,734"
Library,VDJ T,Physical library ID,VDJT_1,Number of reads,"80,543,017"
Library,VDJ T,Physical library ID,VDJT_1,Reads mapped to TRA,4.72%
Library,VDJ T,Physical library ID,VDJT_1,Reads mapped to TRB,6.54%
Library,VDJ T,Physical library ID,VDJT_1,Reads mapped to any V(D)J gene,15.42%
Library,VDJ T,Physical library ID,VDJT_1,Valid barcodes,68.64%
Sample,Antibody Capture,,,Antibody reads usable per cell,"1,564"
Sample,Antibody Capture,,,Cells,"3,016"
Sample,Antibody Capture,,,Median UMI counts per cell,"1,044"
Sample,Gene Expression,,,Cells,"3,016"
Sample,Gene Expression,,,Confidently mapped antisense,11.32%
Sample,Gene Expression,,,Confidently mapped to exonic regions,53.44%
Sample,Gene Expression,,,Confidently mapped to genome,84.64%
Sample,Gene Expression,,,Confidently mapped to intergenic regions,15.79%
Sample,Gene Expression,,,Confidently mapped to intronic regions,15.41%
Sample,Gene Expression,,,Confidently mapped to transcriptome,40.55%
Sample,Gene Expression,,,Mapped to genome,91.36%
Sample,Gene Expression,,,Median UMI counts per cell,"1,055"
Sample,Gene Expression,,,Median genes per cell,571
Sample,Gene Expression,,,Median reads per cell,"18,500"
Sample,Gene Expression,,,Number of reads assigned to the sample,"83,119,200"
Sample,Gene Expression,,,Total genes detected,"17,586"
Sample,VDJ B,,,Cells with productive IGH contig,97.12%
Sample,VDJ B,,,Cells with productive IGK contig,33.86%
