Library or Sample,Library Type,Grouped By,Group Name,Metric Name,Metric Value
Library,Antibody Capture,Fastq ID,pseMjZsU_qgZNOhOQ_csp,Number of reads,"16,033,995"
Library,Antibody Capture,Fastq ID,pseMjZsU_qgZNOhOQ_csp,Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,pseMjZsU_qgZNOhOQ_csp,Q30 RNA read,95.7%
Library,Antibody Capture,Fastq ID,pseMjZsU_qgZNOhOQ_csp,Q30 UMI,95.8%
Library,Antibody Capture,Fastq ID,pseMjZsU_qgZNOhOQ_csp,Q30 barcodes,96.4%
Library,Antibody Capture,Fastq ID,pseMjZsU_qgZNOhOQ_csp (2),Number of reads,"16,607,679"
Library,Antibody Capture,Fastq ID,pseMjZsU_qgZNOhOQ_csp (2),Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,pseMjZsU_qgZNOhOQ_csp (2),Q30 RNA read,95.6%
Library,Antibody Capture,Fastq ID,pseMjZsU_qgZNOhOQ_csp (2),Q30 UMI,95.9%
Library,Antibody Capture,Fastq ID,pseMjZsU_qgZNOhOQ_csp (2),Q30 barcodes,96.5%
Library,Antibody Capture,Physical library ID,ABC_1,Estimated number of cells,"3,022"
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads,97.28%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads in aggregate barcodes,3.20%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads usable,11.23%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction reads in cells,11.76%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction unrecognized antibody,2.72%
Library,Antibody Capture,Physical library ID,ABC_1,Mean reads per cell,"10,801"
Library,Antibody Capture,Physical library ID,ABC_1,Number of reads,"32,641,674"
Library,Antibody Capture,Physical library ID,ABC_1,Valid UMIs,100.00%
Library,Antibody Capture,Physical library ID,ABC_1,Valid barcodes,98.35%
Library,Gene Expression,Fastq ID,pseMjZsU_qgZNOhOQ_gex,Number of reads,"106,366,223"
Library,Gene Expression,Fastq ID,pseMjZsU_qgZNOhOQ_gex,Number of short reads skipped,0
Library,Gene Expression,Fastq ID,pseMjZsU_qgZNOhOQ_gex,Q30 RNA read,88.3%
Library,Gene Expression,Fastq ID,pseMjZsU_qgZNOhOQ_gex,Q30 UMI,95.6%
Library,Gene Expression,Fastq ID,pseMjZsU_qgZNOhOQ_gex,Q30 barcodes,96.0%
Library,Gene Expression,Fastq ID,pseMjZsU_qgZNOhOQ_gex (2),Number of reads,"106,408,097"
Library,Gene Expression,Fastq ID,pseMjZsU_qgZNOhOQ_gex (2),Number of short reads skipped,0
Library,Gene Expression,Fastq ID,pseMjZsU_qgZNOhOQ_gex (2),Q30 RNA read,88.1%
Library,Gene Expression,Fastq ID,pseMjZsU_qgZNOhOQ_gex (2),Q30 UMI,95.7%
Library,Gene Expression,Fastq ID,pseMjZsU_qgZNOhOQ_gex (2),Q30 barcodes,96.1%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped antisense,16.27%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to exonic regions,38.81%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to genome,71.42%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to intergenic regions,19.40%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to intronic regions,13.21%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to transcriptome,21.42%
Library,Gene Expression,Physical library ID,GEX_1,Estimated number of cells,"3,022"
Library,Gene Expression,Physical library ID,GEX_1,Fraction reads in cells,76.46%
Library,Gene Expression,Physical library ID,GEX_1,Mapped to genome,87.16%
Library,Gene Expression,Physical library ID,GEX_1,Mean reads per cell,"70,408"
Library,Gene Expression,Physical library ID,GEX_1,Number of reads,"212,774,320"
Library,Gene Expression,Physical library ID,GEX_1,Number of reads in the library,"212,774,320"
Library,Gene Expression,Physical library ID,GEX_1,Sequencing saturation,86.28%
Library,Gene Expression,Physical library ID,GEX_1,Valid UMIs,99.97%
Library,Gene Expression,Physical library ID,GEX_1,Valid barcodes,66.54%
Library,VDJ B,Fastq ID,pseMjZsU_qgZNOhOQ_bcr,Number of reads,"13,580,893"
Library,VDJ B,Fastq ID,pseMjZsU_qgZNOhOQ_bcr,Number of short reads skipped,0
Library,VDJ B,Fastq ID,pseMjZsU_qgZNOhOQ_bcr,Q30 RNA read,88.3%
Library,VDJ B,Fastq ID,pseMjZsU_qgZNOhOQ_bcr,Q30 UMI,94.6%
Library,VDJ B,Fastq ID,pseMjZsU_qgZNOhOQ_bcr,Q30 barcodes,95.3%
Library,VDJ B,Fastq ID,pseMjZsU_qgZNOhOQ_bcr (2),Number of reads,"13,666,385"
Library,VDJ B,Fastq ID,pseMjZsU_qgZNOhOQ_bcr (2),Number of short reads skipped,0
Library,VDJ B,Fastq ID,pseMjZsU_qgZNOhOQ_bcr (2),Q30 RNA read,87.9%
Library,VDJ B,Fastq ID,pseMjZsU_qgZNOhOQ_bcr (2),Q30 UMI,94.7%
Library,VDJ B,Fastq ID,pseMjZsU_qgZNOhOQ_bcr (2),Q30 barcodes,95.4%
Library,VDJ B,Physical library ID,VDJB_1,Estimated number of cells,"1,059"
Library,VDJ B,Physical library ID,VDJB_1,Fraction reads in cells,81.25%
Library,VDJ B,Physical library ID,VDJB_1,Mean reads per cell,"25,729"
Library,VDJ B,Physical library ID,VDJB_1,Mean used reads per cell,"10,273"
Library,VDJ B,Physical library ID,VDJB_1,Number of reads,"27,247,278"
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to IGH,49.24%
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to IGK,12.85%
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to IGL,9.44%
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to any V(D)J gene,71.55%
Library,VDJ B,Physical library ID,VDJB_1,Valid barcodes,86.75%
Library,VDJ T,Fastq ID,pseMjZsU_qgZNOhOQ_tcr,Number of reads,"23,955,825"
Library,VDJ T,Fastq ID,pseMjZsU_qgZNOhOQ_tcr,Number of short reads skipped,0
Library,VDJ T,Fastq ID,pseMjZsU_qgZNOhOQ_tcr,Q30 RNA read,91.8%
Library,VDJ T,Fastq ID,pseMjZsU_qgZNOhOQ_tcr,Q30 UMI,95.5%
Library,VDJ T,Fastq ID,pseMjZsU_qgZNOhOQ_tcr,Q30 barcodes,95.9%
Library,VDJ T,Fastq ID,pseMjZsU_qgZNOhOQ_tcr (2),Number of reads,"24,113,973"
Library,VDJ T,Fastq ID,pseMjZsU_qgZNOhOQ_tcr (2),Number of short reads skipped,0
Library,VDJ T,Fastq ID,pseMjZsU_qgZNOhOQ_tcr (2),Q30 RNA read,91.6%
Library,VDJ T,Fastq ID,pseMjZsU_qgZNOhOQ_tcr (2),Q30 UMI,95.6%
Library,VDJ T,Fastq ID,pseMjZsU_qgZNOhOQ_tcr (2),Q30 barcodes,96.0%
Library,VDJ T,Physical library ID,VDJT_1,Estimated number of cells,293
Library,VDJ T,Physical library ID,VDJT_1,Fraction reads in cells,9.80%
Library,VDJ T,Physical library ID,VDJT_1,Mean reads per cell,"164,061"
Library,VDJ T,Physical library ID,VDJT_1,Mean used reads per cell,"5,929"
Library,VDJ T,Physical library ID,VDJT_1,Number of reads,"48,069,798"
Library,VDJ T,Physical library ID,VDJT_1,Reads mapped to TRA,5.12%
Library,VDJ T,Physical library ID,VDJT_1,Reads mapped to TRB,6.92%
Library,VDJ T,Physical library ID,VDJT_1,Reads mapped to any V(D)J gene,15.05%
Library,VDJ T,Physical library ID,VDJT_1,Valid barcodes,70.38%
Sample,Antibody Capture,,,Antibody reads usable per cell,"1,212"
Sample,Antibody Capture,,,Cells,"3,022"
Sample,Antibody Capture,,,Median UMI counts per cell,823
Sample,Gene Expression,,,Cells,"3,022"
Sample,Gene Expression,,,Confidently mapped antisense,11.40%
Sample,Gene Expression,,,Confidently mapped to exonic regions,51.31%
Sample,Gene Expression,,,Confidently mapped to genome,84.00%
Sample,Gene Expression,,,Confidently mapped to intergenic regions,17.39%
Sample,Gene Expression,,,Confidently mapped to intronic regions,15.29%
Sample,Gene Expression,,,Confidently mapped to transcriptome,38.45%
Sample,Gene Expression,,,Mapped to genome,91.73%
Sample,Gene Expression,,,Median UMI counts per cell,"1,004"
Sample,Gene Expression,,,Median genes per cell,532
Sample,Gene Expression,,,Median reads per cell,"18,653"
Sample,Gene Expression,,,Number of reads assigned to the sample,"84,344,342"
Sample,Gene Expression,,,Total genes detected,"17,522"
Sample,VDJ B,,,Cells with productive IGH contig,90.65%
Sample,VDJ B,,,Cells with productive IGK contig,37.87%
Sample,VDJ B,,,Cells with productive IGL contig,38.24%
Sample,VDJ B,,,"Cells with productive V-J spanning (IGK, IGH) pair",31.35%
Sample,VDJ B,,,"Cells with productive V-J spanning (IGL, IGH) pair",35.41%
Sample,VDJ B,,,Cells with productive V-J spanning pair,66.48%
Sample,VDJ B,,,Estimated number of cells,"1,059"
Sample,VDJ B,,,Median IGH UMIs per Cell,12
Sample,VDJ B,,,Median IGK UMIs per Cell,35
Sample,VDJ B,,,Median IGL UMIs per Cell,27
Sample,VDJ B,,,Number of cells with productive V-J spanning pair,704
Sample,VDJ B,,,Paired clonotype diversity,946.40
Sample,VDJ T,,,Cells with productive TRA contig,70.65%
Sample,VDJ T,,,Cells with productive TRB contig,98.29%
Sample,VDJ T,,,"Cells with productive V-J spanning (TRA, TRB) pair",68.94%
Sample,VDJ T,,,Cells with productive V-J spanning pair,68.94%
Sample,VDJ T,,,Estimated number of cells,293
Sample,VDJ T,,,Median TRA UMIs per Cell,6
Sample,VDJ T,,,Median TRB UMIs per Cell,24
Sample,VDJ T,,,Number of cells with productive V-J spanning pair,202
Sample,VDJ T,,,Paired clonotype diversity,276.04
