Library or Sample,Library Type,Grouped By,Group Name,Metric Name,Metric Value
Library,Antibody Capture,Fastq ID,uqJAc4r9_BYScOzxA_csp,Number of reads,"20,521,886"
Library,Antibody Capture,Fastq ID,uqJAc4r9_BYScOzxA_csp,Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,uqJAc4r9_BYScOzxA_csp,Q30 RNA read,95.7%
Library,Antibody Capture,Fastq ID,uqJAc4r9_BYScOzxA_csp,Q30 UMI,95.7%
Library,Antibody Capture,Fastq ID,uqJAc4r9_BYScOzxA_csp,Q30 barcodes,96.4%
Library,Antibody Capture,Fastq ID,uqJAc4r9_BYScOzxA_csp (2),Number of reads,"21,241,878"
Library,Antibody Capture,Fastq ID,uqJAc4r9_BYScOzxA_csp (2),Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,uqJAc4r9_BYScOzxA_csp (2),Q30 RNA read,95.6%
Library,Antibody Capture,Fastq ID,uqJAc4r9_BYScOzxA_csp (2),Q30 UMI,95.8%
Library,Antibody Capture,Fastq ID,uqJAc4r9_BYScOzxA_csp (2),Q30 barcodes,96.5%
Library,Antibody Capture,Physical library ID,ABC_1,Estimated number of cells,"3,125"
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads,97.29%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads in aggregate barcodes,4.50%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads usable,10.55%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction reads in cells,11.05%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction unrecognized antibody,2.71%
Library,Antibody Capture,Physical library ID,ABC_1,Mean reads per cell,"13,364"
Library,Antibody Capture,Physical library ID,ABC_1,Number of reads,"41,763,764"
Library,Antibody Capture,Physical library ID,ABC_1,Valid UMIs,100.00%
Library,Antibody Capture,Physical library ID,ABC_1,Valid barcodes,98.39%
Library,Gene Expression,Fastq ID,uqJAc4r9_BYScOzxA_gex,Number of reads,"109,693,540"
Library,Gene Expression,Fastq ID,uqJAc4r9_BYScOzxA_gex,Number of short reads skipped,0
Library,Gene Expression,Fastq ID,uqJAc4r9_BYScOzxA_gex,Q30 RNA read,89.2%
Library,Gene Expression,Fastq ID,uqJAc4r9_BYScOzxA_gex,Q30 UMI,95.6%
Library,Gene Expression,Fastq ID,uqJAc4r9_BYScOzxA_gex,Q30 barcodes,96.0%
Library,Gene Expression,Fastq ID,uqJAc4r9_BYScOzxA_gex (2),Number of reads,"109,839,823"
Library,Gene Expression,Fastq ID,uqJAc4r9_BYScOzxA_gex (2),Number of short reads skipped,0
Library,Gene Expression,Fastq ID,uqJAc4r9_BYScOzxA_gex (2),Q30 RNA read,89.1%
Library,Gene Expression,Fastq ID,uqJAc4r9_BYScOzxA_gex (2),Q30 UMI,95.7%
Library,Gene Expression,Fastq ID,uqJAc4r9_BYScOzxA_gex (2),Q30 barcodes,96.1%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped antisense,18.75%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to exonic regions,44.97%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to genome,78.11%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to intergenic regions,18.79%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to intronic regions,14.34%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to transcriptome,24.90%
Library,Gene Expression,Physical library ID,GEX_1,Estimated number of cells,"3,125"
Library,Gene Expression,Physical library ID,GEX_1,Fraction reads in cells,76.44%
Library,Gene Expression,Physical library ID,GEX_1,Mapped to genome,89.97%
Library,Gene Expression,Physical library ID,GEX_1,Mean reads per cell,"70,251"
Library,Gene Expression,Physical library ID,GEX_1,Number of reads,"219,533,363"
Library,Gene Expression,Physical library ID,GEX_1,Number of reads in the library,"219,533,363"
Library,Gene Expression,Physical library ID,GEX_1,Sequencing saturation,85.64%
Library,Gene Expression,Physical library ID,GEX_1,Valid UMIs,99.97%
Library,Gene Expression,Physical library ID,GEX_1,Valid barcodes,67.05%
Library,VDJ B,Fastq ID,uqJAc4r9_BYScOzxA_bcr,Number of reads,"15,941,447"
Library,VDJ B,Fastq ID,uqJAc4r9_BYScOzxA_bcr,Number of short reads skipped,0
Library,VDJ B,Fastq ID,uqJAc4r9_BYScOzxA_bcr,Q30 RNA read,89.8%
Library,VDJ B,Fastq ID,uqJAc4r9_BYScOzxA_bcr,Q30 UMI,94.8%
Library,VDJ B,Fastq ID,uqJAc4r9_BYScOzxA_bcr,Q30 barcodes,95.5%
Library,VDJ B,Fastq ID,uqJAc4r9_BYScOzxA_bcr (2),Number of reads,"16,052,771"
Library,VDJ B,Fastq ID,uqJAc4r9_BYScOzxA_bcr (2),Number of short reads skipped,0
Library,VDJ B,Fastq ID,uqJAc4r9_BYScOzxA_bcr (2),Q30 RNA read,89.4%
Library,VDJ B,Fastq ID,uqJAc4r9_BYScOzxA_bcr (2),Q30 UMI,94.9%
Library,VDJ B,Fastq ID,uqJAc4r9_BYScOzxA_bcr (2),Q30 barcodes,95.6%
Library,VDJ B,Physical library ID,VDJB_1,Estimated number of cells,"1,038"
Library,VDJ B,Physical library ID,VDJB_1,Fraction reads in cells,80.44%
Library,VDJ B,Physical library ID,VDJB_1,Mean reads per cell,"30,823"
Library,VDJ B,Physical library ID,VDJB_1,Mean used reads per cell,"11,191"
Library,VDJ B,Physical library ID,VDJB_1,Number of reads,"31,994,218"
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to IGH,53.73%
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to IGK,11.21%
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to IGL,7.26%
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to any V(D)J gene,72.22%
