Library or Sample,Library Type,Grouped By,Group Name,Metric Name,Metric Value
Library,Antibody Capture,Fastq ID,HjqdPU0E_aGDmEY5F_csp,Number of reads,"30,907,429"
Library,Antibody Capture,Fastq ID,HjqdPU0E_aGDmEY5F_csp,Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,HjqdPU0E_aGDmEY5F_csp,Q30 RNA read,97.2%
Library,Antibody Capture,Fastq ID,HjqdPU0E_aGDmEY5F_csp,Q30 UMI,96.9%
Library,Antibody Capture,Fastq ID,HjqdPU0E_aGDmEY5F_csp,Q30 barcodes,97.5%
Library,Antibody Capture,Fastq ID,HjqdPU0E_aGDmEY5F_csp (2),Number of reads,"31,980,000"
Library,Antibody Capture,Fastq ID,HjqdPU0E_aGDmEY5F_csp (2),Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,HjqdPU0E_aGDmEY5F_csp (2),Q30 RNA read,97.4%
Library,Antibody Capture,Fastq ID,HjqdPU0E_aGDmEY5F_csp (2),Q30 UMI,97.0%
Library,Antibody Capture,Fastq ID,HjqdPU0E_aGDmEY5F_csp (2),Q30 barcodes,97.7%
Library,Antibody Capture,Physical library ID,ABC_1,Estimated number of cells,"3,166"
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads,88.22%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads in aggregate barcodes,10.80%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads usable,9.56%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction reads in cells,11.15%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction unrecognized antibody,11.78%
Library,Antibody Capture,Physical library ID,ABC_1,Mean reads per cell,"19,863"
Library,Antibody Capture,Physical library ID,ABC_1,Number of reads,"62,887,429"
Library,Antibody Capture,Physical library ID,ABC_1,Valid UMIs,99.99%
Library,Antibody Capture,Physical library ID,ABC_1,Valid barcodes,98.46%
Library,Gene Expression,Fastq ID,HjqdPU0E_aGDmEY5F_gex,Number of reads,"115,063,907"
Library,Gene Expression,Fastq ID,HjqdPU0E_aGDmEY5F_gex,Number of short reads skipped,0
Library,Gene Expression,Fastq ID,HjqdPU0E_aGDmEY5F_gex,Q30 RNA read,93.8%
Library,Gene Expression,Fastq ID,HjqdPU0E_aGDmEY5F_gex,Q30 UMI,97.0%
Library,Gene Expression,Fastq ID,HjqdPU0E_aGDmEY5F_gex,Q30 barcodes,97.3%
