Library or Sample,Library Type,Grouped By,Group Name,Metric Name,Metric Value
Library,Antibody Capture,Fastq ID,KETfaLdx_Ub1mtE13_csp,Number of reads,"24,675,164"
Library,Antibody Capture,Fastq ID,KETfaLdx_Ub1mtE13_csp,Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,KETfaLdx_Ub1mtE13_csp,Q30 RNA read,97.1%
Library,Antibody Capture,Fastq ID,KETfaLdx_Ub1mtE13_csp,Q30 UMI,96.8%
Library,Antibody Capture,Fastq ID,KETfaLdx_Ub1mtE13_csp,Q30 barcodes,97.5%
Library,Antibody Capture,Fastq ID,KETfaLdx_Ub1mtE13_csp (2),Number of reads,"25,484,972"
Library,Antibody Capture,Fastq ID,KETfaLdx_Ub1mtE13_csp (2),Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,KETfaLdx_Ub1mtE13_csp (2),Q30 RNA read,97.3%
Library,Antibody Capture,Fastq ID,KETfaLdx_Ub1mtE13_csp (2),Q30 UMI,96.9%
Library,Antibody Capture,Fastq ID,KETfaLdx_Ub1mtE13_csp (2),Q30 barcodes,97.6%
Library,Antibody Capture,Physical library ID,ABC_1,Estimated number of cells,"4,498"
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads,88.30%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads in aggregate barcodes,5.80%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads usable,10.49%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction reads in cells,12.13%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction unrecognized antibody,11.70%
Library,Antibody Capture,Physical library ID,ABC_1,Mean reads per cell,"11,152"
Library,Antibody Capture,Physical library ID,ABC_1,Number of reads,"50,160,136"
Library,Antibody Capture,Physical library ID,ABC_1,Valid UMIs,99.99%
Library,Antibody Capture,Physical library ID,ABC_1,Valid barcodes,98.38%
Library,Gene Expression,Fastq ID,KETfaLdx_Ub1mtE13_gex,Number of reads,"133,329,968"
Library,Gene Expression,Fastq ID,KETfaLdx_Ub1mtE13_gex,Number of short reads skipped,0
Library,Gene Expression,Fastq ID,KETfaLdx_Ub1mtE13_gex,Q30 RNA read,94.0%
Library,Gene Expression,Fastq ID,KETfaLdx_Ub1mtE13_gex,Q30 UMI,97.0%
Library,Gene Expression,Fastq ID,KETfaLdx_Ub1mtE13_gex,Q30 barcodes,97.4%
Library,Gene Expression,Fastq ID,KETfaLdx_Ub1mtE13_gex (2),Number of reads,"131,734,925"
Library,Gene Expression,Fastq ID,KETfaLdx_Ub1mtE13_gex (2),Number of short reads skipped,0
Library,Gene Expression,Fastq ID,KETfaLdx_Ub1mtE13_gex (2),Q30 RNA read,94.0%
Library,Gene Expression,Fastq ID,KETfaLdx_Ub1mtE13_gex (2),Q30 UMI,96.9%
Library,Gene Expression,Fastq ID,KETfaLdx_Ub1mtE13_gex (2),Q30 barcodes,97.2%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped antisense,21.74%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to exonic regions,59.32%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to genome,87.69%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to intergenic regions,17.05%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to intronic regions,11.32%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to transcriptome,36.02%
Library,Gene Expression,Physical library ID,GEX_1,Estimated number of cells,"4,498"
Library,Gene Expression,Physical library ID,GEX_1,Fraction reads in cells,69.29%
Library,Gene Expression,Physical library ID,GEX_1,Mapped to genome,96.24%
Library,Gene Expression,Physical library ID,GEX_1,Mean reads per cell,"58,930"
Library,Gene Expression,Physical library ID,GEX_1,Number of reads,"265,064,893"
Library,Gene Expression,Physical library ID,GEX_1,Number of reads in the library,"265,064,893"
Library,Gene Expression,Physical library ID,GEX_1,Sequencing saturation,86.86%
Library,Gene Expression,Physical library ID,GEX_1,Valid UMIs,99.97%
Library,Gene Expression,Physical library ID,GEX_1,Valid barcodes,74.84%
Library,VDJ B,Fastq ID,KETfaLdx_Ub1mtE13_bcr,Number of reads,"21,469,166"
Library,VDJ B,Fastq ID,KETfaLdx_Ub1mtE13_bcr,Number of short reads skipped,0
Library,VDJ B,Fastq ID,KETfaLdx_Ub1mtE13_bcr,Q30 RNA read,92.3%
Library,VDJ B,Fastq ID,KETfaLdx_Ub1mtE13_bcr,Q30 UMI,95.6%
Library,VDJ B,Fastq ID,KETfaLdx_Ub1mtE13_bcr,Q30 barcodes,96.0%
Library,VDJ B,Fastq ID,KETfaLdx_Ub1mtE13_bcr (2),Number of reads,"21,798,379"
Library,VDJ B,Fastq ID,KETfaLdx_Ub1mtE13_bcr (2),Number of short reads skipped,0
Library,VDJ B,Fastq ID,KETfaLdx_Ub1mtE13_bcr (2),Q30 RNA read,91.9%
Library,VDJ B,Fastq ID,KETfaLdx_Ub1mtE13_bcr (2),Q30 UMI,95.6%
Library,VDJ B,Fastq ID,KETfaLdx_Ub1mtE13_bcr (2),Q30 barcodes,96.1%
Library,VDJ B,Physical library ID,VDJB_1,Estimated number of cells,"1,476"
Library,VDJ B,Physical library ID,VDJB_1,Fraction reads in cells,73.80%
Library,VDJ B,Physical library ID,VDJB_1,Mean reads per cell,"29,314"
Library,VDJ B,Physical library ID,VDJB_1,Mean used reads per cell,"6,944"
Library,VDJ B,Physical library ID,VDJB_1,Number of reads,"43,267,545"
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to IGH,41.05%
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to IGK,29.22%
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to IGL,12.65%
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to any V(D)J gene,83.02%
Library,VDJ B,Physical library ID,VDJB_1,Valid barcodes,94.91%
Library,VDJ T,Fastq ID,KETfaLdx_Ub1mtE13_tcr,Number of reads,"18,388,510"
Library,VDJ T,Fastq ID,KETfaLdx_Ub1mtE13_tcr,Number of short reads skipped,0
Library,VDJ T,Fastq ID,KETfaLdx_Ub1mtE13_tcr,Q30 RNA read,93.3%
Library,VDJ T,Fastq ID,KETfaLdx_Ub1mtE13_tcr,Q30 UMI,96.3%
Library,VDJ T,Fastq ID,KETfaLdx_Ub1mtE13_tcr,Q30 barcodes,96.7%
Library,VDJ T,Fastq ID,KETfaLdx_Ub1mtE13_tcr (2),Number of reads,"18,615,143"
Library,VDJ T,Fastq ID,KETfaLdx_Ub1mtE13_tcr (2),Number of short reads skipped,0
Library,VDJ T,Fastq ID,KETfaLdx_Ub1mtE13_tcr (2),Q30 RNA read,93.0%
Library,VDJ T,Fastq ID,KETfaLdx_Ub1mtE13_tcr (2),Q30 UMI,96.4%
Library,VDJ T,Fastq ID,KETfaLdx_Ub1mtE13_tcr (2),Q30 barcodes,96.8%
Library,VDJ T,Physical library ID,VDJT_1,Estimated number of cells,"1,626"
Library,VDJ T,Physical library ID,VDJT_1,Fraction reads in cells,41.46%
Library,VDJ T,Physical library ID,VDJT_1,Mean reads per cell,"22,757"
Library,VDJ T,Physical library ID,VDJT_1,Mean used reads per cell,"6,326"
Library,VDJ T,Physical library ID,VDJT_1,Number of reads,"37,003,653"
Library,VDJ T,Physical library ID,VDJT_1,Reads mapped to TRA,20.05%
Library,VDJ T,Physical library ID,VDJT_1,Reads mapped to TRB,37.78%
Library,VDJ T,Physical library ID,VDJT_1,Reads mapped to any V(D)J gene,58.33%
Library,VDJ T,Physical library ID,VDJT_1,Valid barcodes,87.05%
Sample,Antibody Capture,,,Antibody reads usable per cell,"1,170"
Sample,Antibody Capture,,,Cells,"4,498"
Sample,Antibody Capture,,,Median UMI counts per cell,531
Sample,Gene Expression,,,Cells,"4,498"
Sample,Gene Expression,,,Confidently mapped antisense,15.56%
Sample,Gene Expression,,,Confidently mapped to exonic regions,64.93%
Sample,Gene Expression,,,Confidently mapped to genome,90.97%
Sample,Gene Expression,,,Confidently mapped to intergenic regions,13.42%
Sample,Gene Expression,,,Confidently mapped to intronic regions,12.61%
Sample,Gene Expression,,,Confidently mapped to transcriptome,47.61%
Sample,Gene Expression,,,Mapped to genome,96.35%
Sample,Gene Expression,,,Median UMI counts per cell,"1,206"
Sample,Gene Expression,,,Median genes per cell,545
Sample,Gene Expression,,,Median reads per cell,"18,746"
Sample,Gene Expression,,,Number of reads assigned to the sample,"132,678,630"
Sample,Gene Expression,,,Total genes detected,"18,401"
Sample,VDJ B,,,Cells with productive IGH contig,75.41%
Sample,VDJ B,,,Cells with productive IGK contig,69.17%
Sample,VDJ B,,,Cells with productive IGL contig,26.83%
Sample,VDJ B,,,"Cells with productive V-J spanning (IGK, IGH) pair",49.32%
Sample,VDJ B,,,"Cells with productive V-J spanning (IGL, IGH) pair",22.09%
Sample,VDJ B,,,Cells with productive V-J spanning pair,69.72%
Sample,VDJ B,,,Estimated number of cells,"1,476"
Sample,VDJ B,,,Median IGH UMIs per Cell,11
Sample,VDJ B,,,Median IGK UMIs per Cell,31
Sample,VDJ B,,,Median IGL UMIs per Cell,25
Sample,VDJ B,,,Number of cells with productive V-J spanning pair,"1,029"
Sample,VDJ B,,,Paired clonotype diversity,"1,180.16"
Sample,VDJ T,,,Cells with productive TRA contig,83.39%
Sample,VDJ T,,,Cells with productive TRB contig,98.52%
Sample,VDJ T,,,"Cells with productive V-J spanning (TRA, TRB) pair",81.92%
Sample,VDJ T,,,Cells with productive V-J spanning pair,81.92%
Sample,VDJ T,,,Estimated number of cells,"1,626"
Sample,VDJ T,,,Median TRA UMIs per Cell,6
Sample,VDJ T,,,Median TRB UMIs per Cell,15
Sample,VDJ T,,,Number of cells with productive V-J spanning pair,"1,332"
Sample,VDJ T,,,Paired clonotype diversity,"1,446.32"
