Library or Sample,Library Type,Grouped By,Group Name,Metric Name,Metric Value
Library,Antibody Capture,Fastq ID,SOJZt9kY_qpnv20QN_csp,Number of reads,"24,704,382"
Library,Antibody Capture,Fastq ID,SOJZt9kY_qpnv20QN_csp,Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,SOJZt9kY_qpnv20QN_csp,Q30 RNA read,97.1%
Library,Antibody Capture,Fastq ID,SOJZt9kY_qpnv20QN_csp,Q30 UMI,96.9%
Library,Antibody Capture,Fastq ID,SOJZt9kY_qpnv20QN_csp,Q30 barcodes,97.5%
Library,Antibody Capture,Fastq ID,SOJZt9kY_qpnv20QN_csp (2),Number of reads,"25,572,190"
Library,Antibody Capture,Fastq ID,SOJZt9kY_qpnv20QN_csp (2),Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,SOJZt9kY_qpnv20QN_csp (2),Q30 RNA read,97.4%
Library,Antibody Capture,Fastq ID,SOJZt9kY_qpnv20QN_csp (2),Q30 UMI,97.0%
Library,Antibody Capture,Fastq ID,SOJZt9kY_qpnv20QN_csp (2),Q30 barcodes,97.7%
Library,Antibody Capture,Physical library ID,ABC_1,Estimated number of cells,"3,574"
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads,88.41%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads in aggregate barcodes,10.20%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads usable,10.44%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction reads in cells,12.11%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction unrecognized antibody,11.59%
Library,Antibody Capture,Physical library ID,ABC_1,Mean reads per cell,"14,067"
Library,Antibody Capture,Physical library ID,ABC_1,Number of reads,"50,276,572"
Library,Antibody Capture,Physical library ID,ABC_1,Valid UMIs,99.99%
Library,Antibody Capture,Physical library ID,ABC_1,Valid barcodes,98.40%
Library,Gene Expression,Fastq ID,SOJZt9kY_qpnv20QN_gex,Number of reads,"158,168,778"
Library,Gene Expression,Fastq ID,SOJZt9kY_qpnv20QN_gex,Number of short reads skipped,0
Library,Gene Expression,Fastq ID,SOJZt9kY_qpnv20QN_gex,Q30 RNA read,93.4%
Library,Gene Expression,Fastq ID,SOJZt9kY_qpnv20QN_gex,Q30 UMI,96.9%
Library,Gene Expression,Fastq ID,SOJZt9kY_qpnv20QN_gex,Q30 barcodes,97.2%
Library,Gene Expression,Fastq ID,SOJZt9kY_qpnv20QN_gex (2),Number of reads,"160,049,785"
Library,Gene Expression,Fastq ID,SOJZt9kY_qpnv20QN_gex (2),Number of short reads skipped,0
Library,Gene Expression,Fastq ID,SOJZt9kY_qpnv20QN_gex (2),Q30 RNA read,93.4%
Library,Gene Expression,Fastq ID,SOJZt9kY_qpnv20QN_gex (2),Q30 UMI,97.0%
Library,Gene Expression,Fastq ID,SOJZt9kY_qpnv20QN_gex (2),Q30 barcodes,97.3%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped antisense,19.48%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to exonic regions,48.83%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to genome,80.14%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to intergenic regions,22.37%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to intronic regions,8.94%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to transcriptome,28.06%
Library,Gene Expression,Physical library ID,GEX_1,Estimated number of cells,"3,574"
Library,Gene Expression,Physical library ID,GEX_1,Fraction reads in cells,64.25%
Library,Gene Expression,Physical library ID,GEX_1,Mapped to genome,95.41%
Library,Gene Expression,Physical library ID,GEX_1,Mean reads per cell,"89,037"
Library,Gene Expression,Physical library ID,GEX_1,Number of reads,"318,218,563"
Library,Gene Expression,Physical library ID,GEX_1,Number of reads in the library,"318,218,563"
Library,Gene Expression,Physical library ID,GEX_1,Sequencing saturation,86.81%
Library,Gene Expression,Physical library ID,GEX_1,Valid UMIs,99.97%
Library,Gene Expression,Physical library ID,GEX_1,Valid barcodes,63.73%
Library,VDJ B,Fastq ID,SOJZt9kY_qpnv20QN_bcr,Number of reads,"22,813,412"
Library,VDJ B,Fastq ID,SOJZt9kY_qpnv20QN_bcr,Number of short reads skipped,0
Library,VDJ B,Fastq ID,SOJZt9kY_qpnv20QN_bcr,Q30 RNA read,92.0%
Library,VDJ B,Fastq ID,SOJZt9kY_qpnv20QN_bcr,Q30 UMI,95.4%
Library,VDJ B,Fastq ID,SOJZt9kY_qpnv20QN_bcr,Q30 barcodes,95.9%
Library,VDJ B,Fastq ID,SOJZt9kY_qpnv20QN_bcr (2),Number of reads,"23,178,359"
Library,VDJ B,Fastq ID,SOJZt9kY_qpnv20QN_bcr (2),Number of short reads skipped,0
Library,VDJ B,Fastq ID,SOJZt9kY_qpnv20QN_bcr (2),Q30 RNA read,91.5%
Library,VDJ B,Fastq ID,SOJZt9kY_qpnv20QN_bcr (2),Q30 UMI,95.4%
Library,VDJ B,Fastq ID,SOJZt9kY_qpnv20QN_bcr (2),Q30 barcodes,96.0%
Library,VDJ B,Physical library ID,VDJB_1,Estimated number of cells,761
Library,VDJ B,Physical library ID,VDJB_1,Fraction reads in cells,82.58%
Library,VDJ B,Physical library ID,VDJB_1,Mean reads per cell,"60,436"
Library,VDJ B,Physical library ID,VDJB_1,Mean used reads per cell,"14,064"
Library,VDJ B,Physical library ID,VDJB_1,Number of reads,"45,991,771"
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to IGH,56.32%
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to IGK,17.81%
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to IGL,6.98%
Library,VDJ B,Physical library ID,VDJB_1,Reads mapped to any V(D)J gene,81.21%
Library,VDJ B,Physical library ID,VDJB_1,Valid barcodes,92.48%
Library,VDJ T,Fastq ID,SOJZt9kY_qpnv20QN_tcr,Number of reads,"33,083,407"
Library,VDJ T,Fastq ID,SOJZt9kY_qpnv20QN_tcr,Number of short reads skipped,0
Library,VDJ T,Fastq ID,SOJZt9kY_qpnv20QN_tcr,Q30 RNA read,92.9%
Library,VDJ T,Fastq ID,SOJZt9kY_qpnv20QN_tcr,Q30 UMI,96.4%
Library,VDJ T,Fastq ID,SOJZt9kY_qpnv20QN_tcr,Q30 barcodes,96.7%
Library,VDJ T,Fastq ID,SOJZt9kY_qpnv20QN_tcr (2),Number of reads,"33,462,777"
Library,VDJ T,Fastq ID,SOJZt9kY_qpnv20QN_tcr (2),Number of short reads skipped,0
Library,VDJ T,Fastq ID,SOJZt9kY_qpnv20QN_tcr (2),Q30 RNA read,92.6%
Library,VDJ T,Fastq ID,SOJZt9kY_qpnv20QN_tcr (2),Q30 UMI,96.5%
Library,VDJ T,Fastq ID,SOJZt9kY_qpnv20QN_tcr (2),Q30 barcodes,96.8%
Library,VDJ T,Physical library ID,VDJT_1,Estimated number of cells,817
Library,VDJ T,Physical library ID,VDJT_1,Fraction reads in cells,31.16%
Library,VDJ T,Physical library ID,VDJT_1,Mean reads per cell,"81,452"
Library,VDJ T,Physical library ID,VDJT_1,Mean used reads per cell,"15,351"
Library,VDJ T,Physical library ID,VDJT_1,Number of reads,"66,546,184"
Library,VDJ T,Physical library ID,VDJT_1,Reads mapped to TRA,20.41%
Library,VDJ T,Physical library ID,VDJT_1,Reads mapped to TRB,33.19%
Library,VDJ T,Physical library ID,VDJT_1,Reads mapped to any V(D)J gene,54.29%
Library,VDJ T,Physical library ID,VDJT_1,Valid barcodes,80.63%
Sample,Antibody Capture,,,Antibody reads usable per cell,"1,468"
Sample,Antibody Capture,,,Cells,"3,574"
Sample,Antibody Capture,,,Median UMI counts per cell,689
Sample,Gene Expression,,,Cells,"3,574"
Sample,Gene Expression,,,Confidently mapped antisense,9.90%
Sample,Gene Expression,,,Confidently mapped to exonic regions,56.69%
Sample,Gene Expression,,,Confidently mapped to genome,86.95%
Sample,Gene Expression,,,Confidently mapped to intergenic regions,20.64%
Sample,Gene Expression,,,Confidently mapped to intronic regions,9.62%
Sample,Gene Expression,,,Confidently mapped to transcriptome,45.24%
Sample,Gene Expression,,,Mapped to genome,95.78%
Sample,Gene Expression,,,Median UMI counts per cell,"1,264"
Sample,Gene Expression,,,Median genes per cell,591
Sample,Gene Expression,,,Median reads per cell,"22,234"
Sample,Gene Expression,,,Number of reads assigned to the sample,"118,621,414"
Sample,Gene Expression,,,Total genes detected,"18,114"
Sample,VDJ B,,,Cells with productive IGH contig,95.80%
Sample,VDJ B,,,Cells with productive IGK contig,60.58%
Sample,VDJ B,,,Cells with productive IGL contig,22.86%
Sample,VDJ B,,,"Cells with productive V-J spanning (IGK, IGH) pair",57.29%
Sample,VDJ B,,,"Cells with productive V-J spanning (IGL, IGH) pair",21.94%
Sample,VDJ B,,,Cells with productive V-J spanning pair,78.45%
Sample,VDJ B,,,Estimated number of cells,761
Sample,VDJ B,,,Median IGH UMIs per Cell,23
Sample,VDJ B,,,Median IGK UMIs per Cell,48
Sample,VDJ B,,,Median IGL UMIs per Cell,26
Sample,VDJ B,,,Number of cells with productive V-J spanning pair,597
Sample,VDJ B,,,Paired clonotype diversity,630.16
Sample,VDJ T,,,Cells with productive TRA contig,85.68%
Sample,VDJ T,,,Cells with productive TRB contig,99.02%
Sample,VDJ T,,,"Cells with productive V-J spanning (TRA, TRB) pair",84.70%
Sample,VDJ T,,,Cells with productive V-J spanning pair,84.70%
Sample,VDJ T,,,Estimated number of cells,817
Sample,VDJ T,,,Median TRA UMIs per Cell,8
Sample,VDJ T,,,Median TRB UMIs per Cell,20
Sample,VDJ T,,,Number of cells with productive V-J spanning pair,692
Sample,VDJ T,,,Paired clonotype diversity,757.65
