Library or Sample,Library Type,Grouped By,Group Name,Metric Name,Metric Value
Library,Antibody Capture,Fastq ID,XV1SLOR2_HRF5D9A3_csp,Number of reads,"28,760,600"
Library,Antibody Capture,Fastq ID,XV1SLOR2_HRF5D9A3_csp,Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,XV1SLOR2_HRF5D9A3_csp,Q30 RNA read,97.2%
Library,Antibody Capture,Fastq ID,XV1SLOR2_HRF5D9A3_csp,Q30 UMI,96.9%
Library,Antibody Capture,Fastq ID,XV1SLOR2_HRF5D9A3_csp,Q30 barcodes,97.6%
Library,Antibody Capture,Fastq ID,XV1SLOR2_HRF5D9A3_csp (2),Number of reads,"29,751,197"
Library,Antibody Capture,Fastq ID,XV1SLOR2_HRF5D9A3_csp (2),Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,XV1SLOR2_HRF5D9A3_csp (2),Q30 RNA read,97.4%
Library,Antibody Capture,Fastq ID,XV1SLOR2_HRF5D9A3_csp (2),Q30 UMI,97.1%
Library,Antibody Capture,Fastq ID,XV1SLOR2_HRF5D9A3_csp (2),Q30 barcodes,97.7%
Library,Antibody Capture,Physical library ID,ABC_1,Estimated number of cells,"3,571"
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads,88.70%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads in aggregate barcodes,9.40%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads usable,10.12%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction reads in cells,11.71%
Library,Antibody Capture,Physical library ID,ABC_1,Fraction unrecognized antibody,11.30%
Library,Antibody Capture,Physical library ID,ABC_1,Mean reads per cell,"16,385"
Library,Antibody Capture,Physical library ID,ABC_1,Number of reads,"58,511,797"
Library,Antibody Capture,Physical library ID,ABC_1,Valid UMIs,99.99%
Library,Antibody Capture,Physical library ID,ABC_1,Valid barcodes,98.39%
Library,Gene Expression,Fastq ID,XV1SLOR2_HRF5D9A3_gex,Number of reads,"116,985,752"
Library,Gene Expression,Fastq ID,XV1SLOR2_HRF5D9A3_gex,Number of short reads skipped,0
Library,Gene Expression,Fastq ID,XV1SLOR2_HRF5D9A3_gex,Q30 RNA read,93.8%
Library,Gene Expression,Fastq ID,XV1SLOR2_HRF5D9A3_gex,Q30 UMI,96.9%
Library,Gene Expression,Fastq ID,XV1SLOR2_HRF5D9A3_gex,Q30 barcodes,97.2%
Library,Gene Expression,Fastq ID,XV1SLOR2_HRF5D9A3_gex (2),Number of reads,"118,263,346"
Library,Gene Expression,Fastq ID,XV1SLOR2_HRF5D9A3_gex (2),Number of short reads skipped,0
Library,Gene Expression,Fastq ID,XV1SLOR2_HRF5D9A3_gex (2),Q30 RNA read,93.7%
Library,Gene Expression,Fastq ID,XV1SLOR2_HRF5D9A3_gex (2),Q30 UMI,97.0%
Library,Gene Expression,Fastq ID,XV1SLOR2_HRF5D9A3_gex (2),Q30 barcodes,97.3%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped antisense,20.18%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped to exonic regions,52.22%
