subproject,gem_id,Library_Estimated_number_of_cells,Library_Fraction_antibody_reads,Library_Fraction_antibody_reads_in_aggregate_barcodes,Library_Fraction_antibody_reads_usable,Library_Fraction_reads_in_cells,Library_Fraction_unrecognized_antibody,Library_Mean_reads_per_cell,Library_Number_of_reads,Library_Valid_UMIs,Library_Valid_barcodes,Sample_Antibody_reads_usable_per_cell,Sample_Cells,Sample_Median_UMI_counts_per_cell
BCLLATLAS_33,ifZOgenn_TpMNTvBa,"2,947",97.24%,58.60%,6.68%,7.20%,2.76%,"15,660","46,150,617",100.00%,98.66%,"1,045","2,947",461
BCLLATLAS_33,mLuLpVxi_v0fLyotc,"2,649",97.18%,29.40%,11.66%,12.41%,2.82%,"15,374","40,724,559",100.00%,98.42%,"1,792","2,649",813
BCLLATLAS_38,B20O1bh7_VmM99YZJ,"2,269",97.32%,19.20%,4.81%,5.05%,2.68%,"20,789","47,171,354",100.00%,98.48%,998,"2,269",564
BCLLATLAS_38,WToIzInl_LudU7hVX,"1,855",97.28%,9.70%,4.17%,4.51%,2.72%,"22,604","41,930,375",100.00%,98.49%,942,"1,855",489
BCLLATLAS_38,rdFRFhrU_ZdYeOZlf,"2,565",97.28%,6.90%,5.47%,5.72%,2.72%,"16,646","42,697,850",100.00%,98.49%,911,"2,565",528
BCLLATLAS_40,CfdzDgHe_IMOTbrIP,"2,799",97.28%,5.20%,9.87%,10.45%,2.72%,"15,237","42,649,712",100.00%,98.33%,"1,504","2,799","1,036"
BCLLATLAS_40,LxBTpkPO_8TcNpBg4,"3,016",97.28%,5.90%,11.26%,11.79%,2.72%,"13,888","41,885,075",100.00%,98.40%,"1,564","3,016","1,044"
BCLLATLAS_40,pseMjZsU_qgZNOhOQ,"3,022",97.28%,3.20%,11.23%,11.76%,2.72%,"10,801","32,641,674",100.00%,98.35%,"1,212","3,022",823
BCLLATLAS_40,ujxNn2kq_lG2VLlYd,"3,098",97.29%,2.50%,11.24%,11.76%,2.71%,"13,685","42,396,106",100.00%,98.37%,"1,537","3,098","1,067"
BCLLATLAS_40,uqJAc4r9_BYScOzxA,"3,125",97.29%,4.50%,10.55%,11.05%,2.71%,"13,364","41,763,764",100.00%,98.39%,"1,409","3,125","1,010"
BCLLATLAS_46,BZEECBEG_GXkc6Q1y,"4,191",88.61%,9.00%,10.93%,12.61%,11.39%,"11,344","47,542,214",99.99%,98.36%,"1,239","4,191",546
BCLLATLAS_46,HjqdPU0E_aGDmEY5F,"3,166",88.22%,10.80%,9.56%,11.15%,11.78%,"19,863","62,887,429",99.99%,98.46%,"1,899","3,166",811
BCLLATLAS_46,KETfaLdx_Ub1mtE13,"4,498",88.30%,5.80%,10.49%,12.13%,11.70%,"11,152","50,160,136",99.99%,98.38%,"1,170","4,498",531
BCLLATLAS_46,SOJZt9kY_qpnv20QN,"3,574",88.41%,10.20%,10.44%,12.11%,11.59%,"14,067","50,276,572",99.99%,98.40%,"1,468","3,574",689
BCLLATLAS_46,XV1SLOR2_HRF5D9A3,"3,571",88.70%,9.40%,10.12%,11.71%,11.30%,"16,385","58,511,797",99.99%,98.39%,"1,658","3,571",770
