subproject,gem,Library or Sample,Library Type,Grouped By,Group Name,Metric Name,Metric Value
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Fastq ID,ifZOgenn_TpMNTvBa_csp,Number of reads,"24,431,857"
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Fastq ID,ifZOgenn_TpMNTvBa_csp,Number of short reads skipped,0
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Fastq ID,ifZOgenn_TpMNTvBa_csp,Q30 RNA read,96.9%
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Fastq ID,ifZOgenn_TpMNTvBa_csp,Q30 UMI,97.2%
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Fastq ID,ifZOgenn_TpMNTvBa_csp,Q30 barcodes,97.6%
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Fastq ID,ifZOgenn_TpMNTvBa_csp (2),Number of reads,"21,718,760"
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Fastq ID,ifZOgenn_TpMNTvBa_csp (2),Number of short reads skipped,0
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Fastq ID,ifZOgenn_TpMNTvBa_csp (2),Q30 RNA read,96.6%
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Fastq ID,ifZOgenn_TpMNTvBa_csp (2),Q30 UMI,96.6%
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Fastq ID,ifZOgenn_TpMNTvBa_csp (2),Q30 barcodes,97.0%
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Physical library ID,ABC_1,Estimated number of cells,"2,947"
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads,97.24%
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads in aggregate barcodes,58.60%
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Physical library ID,ABC_1,Fraction antibody reads usable,6.68%
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Physical library ID,ABC_1,Fraction reads in cells,7.20%
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Physical library ID,ABC_1,Fraction unrecognized antibody,2.76%
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Physical library ID,ABC_1,Mean reads per cell,"15,660"
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Physical library ID,ABC_1,Number of reads,"46,150,617"
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Physical library ID,ABC_1,Valid UMIs,100.00%
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Antibody Capture,Physical library ID,ABC_1,Valid barcodes,98.66%
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Gene Expression,Fastq ID,ifZOgenn_TpMNTvBa_gex,Number of reads,"116,914,403"
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Gene Expression,Fastq ID,ifZOgenn_TpMNTvBa_gex,Number of short reads skipped,0
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Gene Expression,Fastq ID,ifZOgenn_TpMNTvBa_gex,Q30 RNA read,92.3%
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Gene Expression,Fastq ID,ifZOgenn_TpMNTvBa_gex,Q30 UMI,97.1%
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Gene Expression,Fastq ID,ifZOgenn_TpMNTvBa_gex,Q30 barcodes,97.2%
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Gene Expression,Fastq ID,ifZOgenn_TpMNTvBa_gex (2),Number of reads,"114,533,561"
BCLLATLAS_33,ifZOgenn_TpMNTvBa,Library,Gene Expression,Fastq ID,ifZOgenn_TpMNTvBa_gex (2),Number of short reads skipped,0
