subproject,gem_id,Library_Estimated_number_of_cells,Library_Fraction_reads_in_cells,Library_Mean_reads_per_cell,Library_Mean_used_reads_per_cell,Library_Number_of_reads,Library_Reads_mapped_to_IGH,Library_Reads_mapped_to_IGK,Library_Reads_mapped_to_IGL,Library_Reads_mapped_to_any_V(D)J_gene,Library_Valid_barcodes,Sample_Cells_with_productive_IGH_contig,Sample_Cells_with_productive_IGK_contig,Sample_Cells_with_productive_IGL_contig,"Sample_Cells_with_productive_V-J_spanning_(IGK,_IGH)_pair","Sample_Cells_with_productive_V-J_spanning_(IGL,_IGH)_pair",Sample_Cells_with_productive_V-J_spanning_pair,Sample_Estimated_number_of_cells,Sample_Median_IGH_UMIs_per_Cell,Sample_Median_IGK_UMIs_per_Cell,Sample_Median_IGL_UMIs_per_Cell,Sample_Number_of_cells_with_productive_V-J_spanning_pair,Sample_Paired_clonotype_diversity
BCLLATLAS_33,ifZOgenn_TpMNTvBa,"1,166",77.07%,"21,621","7,619","25,209,809",49.48%,11.70%,11.87%,73.09%,88.25%,90.65%,39.19%,55.57%,33.79%,51.63%,83.19%,"1,166",19,50,56,970,775.12
BCLLATLAS_33,mLuLpVxi_v0fLyotc,"1,362",76.24%,"25,899","8,102","35,274,510",42.03%,15.26%,13.90%,71.25%,89.27%,89.50%,45.96%,55.43%,39.72%,51.17%,86.20%,"1,362",23,65,63,"1,174",892.71
BCLLATLAS_38,B20O1bh7_VmM99YZJ,590,76.56%,"64,124","20,604","37,833,223",23.61%,29.82%,23.44%,76.95%,89.07%,76.78%,43.90%,55.93%,31.69%,44.92%,74.07%,590,14,104,95,437,547.33
BCLLATLAS_38,WToIzInl_LudU7hVX,464,75.77%,"86,409","18,139","40,093,856",45.94%,15.02%,11.42%,72.46%,88.44%,89.87%,50.00%,50.65%,43.97%,46.55%,87.28%,464,12,41,52,405,454.21
BCLLATLAS_38,rdFRFhrU_ZdYeOZlf,822,78.42%,"47,367","16,257","38,935,310",41.25%,20.13%,17.24%,78.69%,89.62%,86.98%,41.73%,55.35%,34.43%,49.64%,82.60%,822,16,74,91,679,766.08
BCLLATLAS_40,CfdzDgHe_IMOTbrIP,900,80.11%,"31,912","12,207","28,720,994",52.02%,11.78%,8.38%,72.20%,86.71%,93.11%,37.78%,36.67%,34.33%,33.22%,67.56%,900,13,33,21,608,823.17
BCLLATLAS_40,LxBTpkPO_8TcNpBg4,"1,078",78.37%,"23,679","9,095","25,525,986",52.15%,9.48%,6.53%,68.19%,85.42%,97.12%,33.86%,35.25%,32.00%,34.23%,66.05%,"1,078",15,24,15,712,"1,001.80"
BCLLATLAS_40,pseMjZsU_qgZNOhOQ,"1,059",81.25%,"25,729","10,273","27,247,278",49.24%,12.85%,9.44%,71.55%,86.75%,90.65%,37.87%,38.24%,31.35%,35.41%,66.48%,"1,059",12,35,27,704,946.40
BCLLATLAS_40,ujxNn2kq_lG2VLlYd,"1,014",72.35%,"31,433","10,594","31,873,295",47.37%,9.43%,7.12%,63.95%,86.79%,95.07%,37.97%,33.43%,34.91%,31.56%,66.47%,"1,014",12,25,17,674,709.10
BCLLATLAS_40,uqJAc4r9_BYScOzxA,"1,038",80.44%,"30,823","11,191","31,994,218",53.73%,11.21%,7.26%,72.22%,86.47%,95.28%,36.80%,35.74%,34.01%,33.82%,67.73%,"1,038",16,29,20,703,938.54
BCLLATLAS_46,BZEECBEG_GXkc6Q1y,989,81.05%,"57,244","11,403","56,614,177",42.06%,26.29%,14.33%,82.78%,94.47%,77.86%,65.93%,32.66%,49.14%,27.30%,74.32%,989,11,52,45,735,869.44
BCLLATLAS_46,HjqdPU0E_aGDmEY5F,503,78.37%,"51,693","14,072","26,001,464",48.51%,20.38%,13.19%,82.17%,92.21%,86.28%,55.47%,30.02%,44.93%,26.84%,70.78%,503,10,50,34,356,443.10
BCLLATLAS_46,KETfaLdx_Ub1mtE13,"1,476",73.80%,"29,314","6,944","43,267,545",41.05%,29.22%,12.65%,83.02%,94.91%,75.41%,69.17%,26.83%,49.32%,22.09%,69.72%,"1,476",11,31,25,"1,029","1,180.16"
BCLLATLAS_46,SOJZt9kY_qpnv20QN,761,82.58%,"60,436","14,064","45,991,771",56.32%,17.81%,6.98%,81.21%,92.48%,95.80%,60.58%,22.86%,57.29%,21.94%,78.45%,761,23,48,26,597,630.16
BCLLATLAS_46,XV1SLOR2_HRF5D9A3,"1,072",79.24%,"51,070","10,266","54,747,119",53.45%,20.76%,7.37%,81.67%,93.54%,94.87%,62.03%,27.99%,58.21%,26.68%,82.93%,"1,072",24,50,32,889,885.35
