subproject,gem_id,library_id,library_name,type,donor_id
BCLLATLAS_64,jt18zlyw_fy97xnbm,220580,M413pos_GEX,RNA,M413
BCLLATLAS_65,jt18zlyw_fy97xnbm,220592,M413pos_ATAC,ATAC,M413
BCLLATLAS_64,rvnas5hf_wfkqdmhy,220581,M102pos_GEX,RNA,M102
BCLLATLAS_65,rvnas5hf_wfkqdmhy,220593,M102pos_ATAC,ATAC,M102
BCLLATLAS_64,ywt2m1v6_16u4fqig,220582,M413neg_GEX_1,RNA,M413
BCLLATLAS_65,ywt2m1v6_16u4fqig,220594,M413neg_ATAC_1,ATAC,M413
BCLLATLAS_64,wsz3j4g1_27jak0zo,220583,M413neg_GEX_2,RNA,M413
BCLLATLAS_65,wsz3j4g1_27jak0zo,220595,M413neg_ATAC_2,ATAC,M413
BCLLATLAS_64,kpi1zxjo_542l3n1f,220584,M102neg_GEX_1,RNA,M102
BCLLATLAS_65,kpi1zxjo_542l3n1f,220596,M102neg_ATAC_1,ATAC,M102
BCLLATLAS_64,poba5cxi_qte0l4uh,220585,M102neg_GEX_2,RNA,M102
BCLLATLAS_65,poba5cxi_qte0l4uh,220597,M102neg_ATAC_2,ATAC,M102
