library_id,fastq_path,read,pair_id
220592,/scratch/project/production/fastq/HFWNGDRXY/1/fastq/HFWNGDRXY_1_SI-NA-H9_1.fastq.gz,R1,P1
220592,/scratch/project/production/fastq/HFWNGDRXY/1/fastq/HFWNGDRXY_1_SI-NA-H9_UMI2.fastq.gz,R2,P1
220592,/scratch/project/production/fastq/HFWNGDRXY/1/fastq/HFWNGDRXY_1_SI-NA-H9_2.fastq.gz,R3,P1
220592,/scratch/project/production/fastq/HFWNGDRXY/2/fastq/HFWNGDRXY_2_SI-NA-H9_1.fastq.gz,R1,P2
220592,/scratch/project/production/fastq/HFWNGDRXY/2/fastq/HFWNGDRXY_2_SI-NA-H9_UMI2.fastq.gz,R2,P2
220592,/scratch/project/production/fastq/HFWNGDRXY/2/fastq/HFWNGDRXY_2_SI-NA-H9_2.fastq.gz,R3,P2
220593,/scratch/project/production/fastq/HFWNGDRXY/1/fastq/HFWNGDRXY_1_SI-NA-H10_1.fastq.gz,R1,P3
220593,/scratch/project/production/fastq/HFWNGDRXY/1/fastq/HFWNGDRXY_1_SI-NA-H10_UMI2.fastq.gz,R2,P3
220593,/scratch/project/production/fastq/HFWNGDRXY/1/fastq/HFWNGDRXY_1_SI-NA-H10_2.fastq.gz,R3,P3
220593,/scratch/project/production/fastq/HFWNGDRXY/2/fastq/HFWNGDRXY_2_SI-NA-H10_1.fastq.gz,R1,P4
220593,/scratch/project/production/fastq/HFWNGDRXY/2/fastq/HFWNGDRXY_2_SI-NA-H10_UMI2.fastq.gz,R2,P4
220593,/scratch/project/production/fastq/HFWNGDRXY/2/fastq/HFWNGDRXY_2_SI-NA-H10_2.fastq.gz,R3,P4
220594,/scratch/project/production/fastq/HFWNGDRXY/1/fastq/HFWNGDRXY_1_SI-NA-H11_1.fastq.gz,R1,P5
220594,/scratch/project/production/fastq/HFWNGDRXY/1/fastq/HFWNGDRXY_1_SI-NA-H11_UMI2.fastq.gz,R2,P5
220594,/scratch/project/production/fastq/HFWNGDRXY/1/fastq/HFWNGDRXY_1_SI-NA-H11_2.fastq.gz,R3,P5
220594,/scratch/project/production/fastq/HFWNGDRXY/2/fastq/HFWNGDRXY_2_SI-NA-H11_1.fastq.gz,R1,P6
220594,/scratch/project/production/fastq/HFWNGDRXY/2/fastq/HFWNGDRXY_2_SI-NA-H11_UMI2.fastq.gz,R2,P6
220594,/scratch/project/production/fastq/HFWNGDRXY/2/fastq/HFWNGDRXY_2_SI-NA-H11_2.fastq.gz,R3,P6
220595,/scratch/project/production/fastq/HFWNGDRXY/1/fastq/HFWNGDRXY_1_SI-NA-H12_1.fastq.gz,R1,P7
220595,/scratch/project/production/fastq/HFWNGDRXY/1/fastq/HFWNGDRXY_1_SI-NA-H12_UMI2.fastq.gz,R2,P7
220595,/scratch/project/production/fastq/HFWNGDRXY/1/fastq/HFWNGDRXY_1_SI-NA-H12_2.fastq.gz,R3,P7
220595,/scratch/project/production/fastq/HFWNGDRXY/2/fastq/HFWNGDRXY_2_SI-NA-H12_1.fastq.gz,R1,P8
220595,/scratch/project/production/fastq/HFWNGDRXY/2/fastq/HFWNGDRXY_2_SI-NA-H12_UMI2.fastq.gz,R2,P8
220595,/scratch/project/production/fastq/HFWNGDRXY/2/fastq/HFWNGDRXY_2_SI-NA-H12_2.fastq.gz,R3,P8
220596,/scratch/project/production/fastq/HFWNGDRXY/1/fastq/HFWNGDRXY_1_SI-NA-A4_1.fastq.gz,R1,P9
220596,/scratch/project/production/fastq/HFWNGDRXY/1/fastq/HFWNGDRXY_1_SI-NA-A4_UMI2.fastq.gz,R2,P9
220596,/scratch/project/production/fastq/HFWNGDRXY/1/fastq/HFWNGDRXY_1_SI-NA-A4_2.fastq.gz,R3,P9
220596,/scratch/project/production/fastq/HFWNGDRXY/2/fastq/HFWNGDRXY_2_SI-NA-A4_1.fastq.gz,R1,P10
220596,/scratch/project/production/fastq/HFWNGDRXY/2/fastq/HFWNGDRXY_2_SI-NA-A4_UMI2.fastq.gz,R2,P10
220596,/scratch/project/production/fastq/HFWNGDRXY/2/fastq/HFWNGDRXY_2_SI-NA-A4_2.fastq.gz,R3,P10
220597,/scratch/project/production/fastq/HFWNGDRXY/1/fastq/HFWNGDRXY_1_SI-NA-A5_1.fastq.gz,R1,P11
220597,/scratch/project/production/fastq/HFWNGDRXY/1/fastq/HFWNGDRXY_1_SI-NA-A5_UMI2.fastq.gz,R2,P11
220597,/scratch/project/production/fastq/HFWNGDRXY/1/fastq/HFWNGDRXY_1_SI-NA-A5_2.fastq.gz,R3,P11
220597,/scratch/project/production/fastq/HFWNGDRXY/2/fastq/HFWNGDRXY_2_SI-NA-A5_1.fastq.gz,R1,P12
220597,/scratch/project/production/fastq/HFWNGDRXY/2/fastq/HFWNGDRXY_2_SI-NA-A5_UMI2.fastq.gz,R2,P12
220597,/scratch/project/production/fastq/HFWNGDRXY/2/fastq/HFWNGDRXY_2_SI-NA-A5_2.fastq.gz,R3,P12
