project	subproject	id	SampleName	sample	library	SubprojectId	material	aliquot	flowcell	lane	index	libraryPassFail	LanePassFail	libApplication	Kit	Organism	Sex	pedigree	cohort	GenomeRef	SplitIndexcohort	SubprojectCov	motherId	fatherId	library__gbs_index__multiplex_index_name	readLength	sampleStatus	mappingVersion	mapperName	mapperVersion
BCLLATLAS	BCLLATLAS_65	220592	M413pos_ATAC	AV4332	AV4332	6091	Cells in lysis buffer	None	HFWNGDRXY	1	SI-NA-H9	pass	waiting	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	waiting	200.000	None	None	None	1 * 50 +8+24+49	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_65	220592	M413pos_ATAC	AV4332	AV4332	6091	Cells in lysis buffer	None	HFWNGDRXY	2	SI-NA-H9	pass	waiting	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	waiting	200.000	None	None	None	1 * 50 +8+24+49	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_65	220593	M102pos_ATAC	AV4333	AV4333	6091	Cells in lysis buffer	None	HFWNGDRXY	1	SI-NA-H10	pass	waiting	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	waiting	200.000	None	None	None	1 * 50 +8+24+49	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_65	220593	M102pos_ATAC	AV4333	AV4333	6091	Cells in lysis buffer	None	HFWNGDRXY	2	SI-NA-H10	pass	waiting	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	waiting	200.000	None	None	None	1 * 50 +8+24+49	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_65	220594	M413neg_ATAC	AV4334	AV4334	6091	Cells in lysis buffer	None	HFWNGDRXY	1	SI-NA-H11	pass	waiting	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	waiting	200.000	None	None	None	1 * 50 +8+24+49	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_65	220594	M413neg_ATAC	AV4334	AV4334	6091	Cells in lysis buffer	None	HFWNGDRXY	2	SI-NA-H11	pass	waiting	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	waiting	200.000	None	None	None	1 * 50 +8+24+49	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_65	220595	M413neg_ATAC	AV4335	AV4335	6091	Cells in lysis buffer	None	HFWNGDRXY	1	SI-NA-H12	pass	waiting	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	waiting	200.000	None	None	None	1 * 50 +8+24+49	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_65	220595	M413neg_ATAC	AV4335	AV4335	6091	Cells in lysis buffer	None	HFWNGDRXY	2	SI-NA-H12	pass	waiting	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	waiting	200.000	None	None	None	1 * 50 +8+24+49	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_65	220596	M102neg_ATAC	AV4336	AV4336	6091	Cells in lysis buffer	None	HFWNGDRXY	1	SI-NA-A4	pass	waiting	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	waiting	200.000	None	None	None	1 * 50 +8+24+49	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_65	220596	M102neg_ATAC	AV4336	AV4336	6091	Cells in lysis buffer	None	HFWNGDRXY	2	SI-NA-A4	pass	waiting	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	waiting	200.000	None	None	None	1 * 50 +8+24+49	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_65	220597	M102neg_ATAC	AV4337	AV4337	6091	Cells in lysis buffer	None	HFWNGDRXY	1	SI-NA-A5	pass	waiting	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	waiting	200.000	None	None	None	1 * 50 +8+24+49	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_65	220597	M102neg_ATAC	AV4337	AV4337	6091	Cells in lysis buffer	None	HFWNGDRXY	2	SI-NA-A5	pass	waiting	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	waiting	200.000	None	None	None	1 * 50 +8+24+49	Unaffected	None	None	None
