library_id,fastq_path,read,pair_id
182657,/scratch/project/production/fastq/HV5TLDRXX/1/fastq/HV5TLDRXX_1_SI-NA-A5_1.fastq.gz,R1,P1
182657,/scratch/project/production/fastq/HV5TLDRXX/1/fastq/HV5TLDRXX_1_SI-NA-A5_UMI2.fastq.gz,R2,P1
182657,/scratch/project/production/fastq/HV5TLDRXX/1/fastq/HV5TLDRXX_1_SI-NA-A5_2.fastq.gz,R3,P1
182657,/scratch/project/production/fastq/HV5TLDRXX/2/fastq/HV5TLDRXX_2_SI-NA-A5_1.fastq.gz,R1,P2
182657,/scratch/project/production/fastq/HV5TLDRXX/2/fastq/HV5TLDRXX_2_SI-NA-A5_UMI2.fastq.gz,R2,P2
182657,/scratch/project/production/fastq/HV5TLDRXX/2/fastq/HV5TLDRXX_2_SI-NA-A5_2.fastq.gz,R3,P2
182658,/scratch/project/production/fastq/HV5TLDRXX/1/fastq/HV5TLDRXX_1_SI-NA-A6_1.fastq.gz,R1,P3
182658,/scratch/project/production/fastq/HV5TLDRXX/1/fastq/HV5TLDRXX_1_SI-NA-A6_UMI2.fastq.gz,R2,P3
182658,/scratch/project/production/fastq/HV5TLDRXX/1/fastq/HV5TLDRXX_1_SI-NA-A6_2.fastq.gz,R3,P3
182658,/scratch/project/production/fastq/HV5TLDRXX/2/fastq/HV5TLDRXX_2_SI-NA-A6_1.fastq.gz,R1,P4
182658,/scratch/project/production/fastq/HV5TLDRXX/2/fastq/HV5TLDRXX_2_SI-NA-A6_UMI2.fastq.gz,R2,P4
182658,/scratch/project/production/fastq/HV5TLDRXX/2/fastq/HV5TLDRXX_2_SI-NA-A6_2.fastq.gz,R3,P4
182659,/scratch/project/production/fastq/HVFY3DRXX/1/fastq/HVFY3DRXX_1_SI-NA-A7_1.fastq.gz,R1,P5
182659,/scratch/project/production/fastq/HVFY3DRXX/1/fastq/HVFY3DRXX_1_SI-NA-A7_UMI2.fastq.gz,R2,P5
182659,/scratch/project/production/fastq/HVFY3DRXX/1/fastq/HVFY3DRXX_1_SI-NA-A7_2.fastq.gz,R3,P5
182659,/scratch/project/production/fastq/HVFY3DRXX/2/fastq/HVFY3DRXX_2_SI-NA-A7_1.fastq.gz,R1,P6
182659,/scratch/project/production/fastq/HVFY3DRXX/2/fastq/HVFY3DRXX_2_SI-NA-A7_UMI2.fastq.gz,R2,P6
182659,/scratch/project/production/fastq/HVFY3DRXX/2/fastq/HVFY3DRXX_2_SI-NA-A7_2.fastq.gz,R3,P6
182659,/scratch/project/production/fastq/HVGJCDRXX/1/fastq/HVGJCDRXX_1_SI-NA-A7_1.fastq.gz,R1,P7
182659,/scratch/project/production/fastq/HVGJCDRXX/1/fastq/HVGJCDRXX_1_SI-NA-A7_UMI2.fastq.gz,R2,P7
182659,/scratch/project/production/fastq/HVGJCDRXX/1/fastq/HVGJCDRXX_1_SI-NA-A7_2.fastq.gz,R3,P7
182659,/scratch/project/production/fastq/HVGJCDRXX/2/fastq/HVGJCDRXX_2_SI-NA-A7_1.fastq.gz,R1,P8
182659,/scratch/project/production/fastq/HVGJCDRXX/2/fastq/HVGJCDRXX_2_SI-NA-A7_UMI2.fastq.gz,R2,P8
182659,/scratch/project/production/fastq/HVGJCDRXX/2/fastq/HVGJCDRXX_2_SI-NA-A7_2.fastq.gz,R3,P8
182660,/scratch/project/production/fastq/HVFY3DRXX/1/fastq/HVFY3DRXX_1_SI-NA-A8_1.fastq.gz,R1,P9
182660,/scratch/project/production/fastq/HVFY3DRXX/1/fastq/HVFY3DRXX_1_SI-NA-A8_UMI2.fastq.gz,R2,P9
182660,/scratch/project/production/fastq/HVFY3DRXX/1/fastq/HVFY3DRXX_1_SI-NA-A8_2.fastq.gz,R3,P9
182660,/scratch/project/production/fastq/HVFY3DRXX/2/fastq/HVFY3DRXX_2_SI-NA-A8_1.fastq.gz,R1,P10
182660,/scratch/project/production/fastq/HVFY3DRXX/2/fastq/HVFY3DRXX_2_SI-NA-A8_UMI2.fastq.gz,R2,P10
182660,/scratch/project/production/fastq/HVFY3DRXX/2/fastq/HVFY3DRXX_2_SI-NA-A8_2.fastq.gz,R3,P10
182660,/scratch/project/production/fastq/HVGJCDRXX/1/fastq/HVGJCDRXX_1_SI-NA-A8_1.fastq.gz,R1,P11
182660,/scratch/project/production/fastq/HVGJCDRXX/1/fastq/HVGJCDRXX_1_SI-NA-A8_UMI2.fastq.gz,R2,P11
182660,/scratch/project/production/fastq/HVGJCDRXX/1/fastq/HVGJCDRXX_1_SI-NA-A8_2.fastq.gz,R3,P11
182660,/scratch/project/production/fastq/HVGJCDRXX/2/fastq/HVGJCDRXX_2_SI-NA-A8_1.fastq.gz,R1,P12
182660,/scratch/project/production/fastq/HVGJCDRXX/2/fastq/HVGJCDRXX_2_SI-NA-A8_UMI2.fastq.gz,R2,P12
182660,/scratch/project/production/fastq/HVGJCDRXX/2/fastq/HVGJCDRXX_2_SI-NA-A8_2.fastq.gz,R3,P12
