project	subproject	id	SampleName	sample	library	SubprojectId	material	aliquot	flowcell	lane	index	libraryPassFail	LanePassFail	libApplication	Kit	Organism	Sex	pedigree	cohort	GenomeRef	SplitIndexcohort	SubprojectCov	motherId	fatherId	library__gbs_index__multiplex_index_name	readLength	sampleStatus	mappingVersion	mapperName	mapperVersion
BCLLATLAS	BCLLATLAS_48	187660	BCLL_14_T_1_ATAC_multiome	AS2694	AS2694	5061	Cells in lysis buffer	None	HVLKFDRXX	1	SI-NA-F10	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_48	187660	BCLL_14_T_1_ATAC_multiome	AS2694	AS2694	5061	Cells in lysis buffer	None	HVLKFDRXX	2	SI-NA-F10	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_48	187661	BCLL_14_T_2_ATAC_multiome	AS2695	AS2695	5061	Cells in lysis buffer	None	HVLKFDRXX	1	SI-NA-G10	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_48	187661	BCLL_14_T_2_ATAC_multiome	AS2695	AS2695	5061	Cells in lysis buffer	None	HVLKFDRXX	2	SI-NA-G10	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_48	187662	BCLL_15_T_1_ATAC_multiome	AS2696	AS2696	5061	Cells in lysis buffer	None	HVLKFDRXX	1	SI-NA-A11	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_48	187662	BCLL_15_T_1_ATAC_multiome	AS2696	AS2696	5061	Cells in lysis buffer	None	HVLKFDRXX	2	SI-NA-A11	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_48	187663	BCLL_15_T_2_ATAC_multiome	AS2697	AS2697	5061	Cells in lysis buffer	None	HVLKFDRXX	1	SI-NA-B11	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_48	187663	BCLL_15_T_2_ATAC_multiome	AS2697	AS2697	5061	Cells in lysis buffer	None	HVLKFDRXX	2	SI-NA-B11	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_48	187664	BCLL_2_T_1_ATAC_multiome	AS2698	AS2698	5061	Cells in lysis buffer	None	HVLKFDRXX	1	SI-NA-C11	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_48	187664	BCLL_2_T_1_ATAC_multiome	AS2698	AS2698	5061	Cells in lysis buffer	None	HVLKFDRXX	2	SI-NA-C11	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_48	187665	BCLL_2_T_2_ATAC_multiome	AS2699	AS2699	5061	Cells in lysis buffer	None	HVLKFDRXX	1	SI-NA-D11	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_48	187665	BCLL_2_T_2_ATAC_multiome	AS2699	AS2699	5061	Cells in lysis buffer	None	HVLKFDRXX	2	SI-NA-D11	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_48	187666	BCLL_2_T_3_ATAC_multiome	AS2700	AS2700	5061	Cells in lysis buffer	None	HVLKFDRXX	1	SI-NA-E11	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_48	187666	BCLL_2_T_3_ATAC_multiome	AS2700	AS2700	5061	Cells in lysis buffer	None	HVLKFDRXX	2	SI-NA-E11	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
