project	subproject	id	SampleName	sample	library	SubprojectId	material	aliquot	flowcell	lane	index	libraryPassFail	LanePassFail	libApplication	Kit	Organism	Sex	pedigree	cohort	GenomeRef	SplitIndexcohort	SubprojectCov	motherId	fatherId	library__gbs_index__multiplex_index_name	readLength	sampleStatus	mappingVersion	mapperName	mapperVersion
BCLLATLAS	BCLLATLAS_30	161090	BCLL_3_BM	AQ5702	AQ5702	4276	Cells in lysis buffer	None	HKCW2DRXX	1	SI-NA-F4	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_30	161090	BCLL_3_BM	AQ5702	AQ5702	4276	Cells in lysis buffer	None	HKCW2DRXX	2	SI-NA-F4	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_30	161091	BCLL_2_T	AQ5703	AQ5703	4276	Cells in lysis buffer	None	HK7Y7DRXX	1	SI-NA-G4	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_30	161091	BCLL_2_T	AQ5703	AQ5703	4276	Cells in lysis buffer	None	HK7Y7DRXX	2	SI-NA-G4	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_30	161091	BCLL_2_T	AQ5703	AQ5703	4276	Cells in lysis buffer	None	HKCW2DRXX	1	SI-NA-G4	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_30	161091	BCLL_2_T	AQ5703	AQ5703	4276	Cells in lysis buffer	None	HKCW2DRXX	2	SI-NA-G4	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_30	161092	BCLL_6_T	AQ5704	AQ5704	4276	Cells in lysis buffer	None	HK7Y7DRXX	1	SI-NA-H4	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_30	161092	BCLL_6_T	AQ5704	AQ5704	4276	Cells in lysis buffer	None	HK7Y7DRXX	2	SI-NA-H4	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_30	161092	BCLL_6_T	AQ5704	AQ5704	4276	Cells in lysis buffer	None	HKCW2DRXX	1	SI-NA-H4	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_30	161092	BCLL_6_T	AQ5704	AQ5704	4276	Cells in lysis buffer	None	HKCW2DRXX	2	SI-NA-H4	pass	pass	Single cell ATAC-seq	None	Homo sapiens	0	None	None	None	split	200.000	None	None	None	2 * 50 +8+16	Unaffected	None	None	None
