gem_id,annotated_cells,bc_q30_bases_fract,cellranger-atac_version,cells_detected,frac_cut_fragments_in_peaks,frac_fragments_nfr,frac_fragments_nfr_or_nuc,frac_fragments_nuc,frac_fragments_overlapping_peaks,frac_fragments_overlapping_targets,frac_mapped_confidently,frac_waste_chimeric,frac_waste_duplicate,frac_waste_lowmapq,frac_waste_mitochondrial,frac_waste_no_barcode,frac_waste_non_cell_barcode,frac_waste_overall_nondup,frac_waste_total,frac_waste_unmapped,median_fragments_per_cell,median_per_cell_unique_fragments_at_30000_RRPC,median_per_cell_unique_fragments_at_50000_RRPC,num_fragments,r1_q30_bases_fract,r2_q30_bases_fract,si_q30_bases_fract,total_usable_fragments,tss_enrichment_score
jbp85ve3_3179tpob,3612,0.888799421739,1.2.0,3612,0.28377031352800003,0.628070318087,0.9338410661900001,0.305770748103,0.30049835431099997,0.5892465118069999,0.683087001971,0.00459024347934,0.11977890020500001,0.0390124772418,0.00787939390889,0.021144170572200003,0.54413751474,0.6798265787090001,0.7996054789139999,0.0630627787665,10787.5,2339.87132847,3715.70405202,353741802,0.936663086913,0.9340069336910001,None,70887919,4.35025428516
sy59df1i_56bwpc10,5055,0.879541368468,1.2.0,5055,0.5697281332590001,0.44001924627800004,0.911321066312,0.47130182003399995,0.588921330326,0.726310408652,0.617806752242,0.00341202986534,0.09001658931389998,0.031259567535200004,0.004507002277930001,0.0231727150349,0.5148060425990001,0.628682465085,0.718699054398,0.051525107771899996,5386.0,3391.21544302,5224.60700036,131277280,0.935598258629,0.931462339541,None,36928423,6.4612094108500004
aks0q3tw_lsr4h73j,6717,0.894804151011,1.2.0,6717,0.7257833741799999,0.547228586502,0.901290930148,0.354062343645,0.7412773214689999,0.783352879981,0.34943339876100005,0.0031412977439199997,0.0813597988392,0.0234436902352,0.00222192494664,0.0213550741056,0.450088682689,0.719839485497,0.801199284336,0.219588815777,3339.0,2206.36499803,,167670830,0.9466973504520001,0.9410558199500001,None,33333081,7.64683257918
fnpetv1y_agr9h7v4,7164,0.886530684549,1.2.0,7164,0.6783310358269999,0.526077116965,0.897827712652,0.37175059568700003,0.692825091698,0.7594494024339999,0.502853192473,0.0047776115128599994,0.149491984828,0.0381712408846,0.0101802116721,0.0212988943597,0.340007752783,0.579848318017,0.729340302846,0.165412606805,4046.5,2576.85995694,3787.89250484,196853176,0.9397705171680001,0.936293976258,None,53280221,7.3855331842
jmjpvq6z_fr6c4nyp,6157,0.878400546846,1.2.0,6157,0.471660377925,0.396407161101,0.9180235542540001,0.521616393153,0.49032694049599995,0.672443160852,0.746297752899,0.0032067889838600003,0.10628951175200001,0.0314409764994,0.0018552547327000003,0.020883658958599997,0.5452063363180001,0.637177381087,0.743466892838,0.034584365594300004,6244.0,3112.10850838,4932.54344351,202665970,0.938347433033,0.938845391643,None,51990531,6.45761875386
yja17lfh_kdslhq0g,6873,0.878081142133,1.2.0,6873,0.331063772477,0.45589019228200006,0.890283543758,0.434393351476,0.350010517121,0.6073574626739999,0.736617064392,0.0036219725218400002,0.116163624394,0.0404997101121,0.0103084063864,0.0205002964927,0.524066213961,0.631887852701,0.748051477095,0.0328912532269,4866.0,2501.57919465,3921.32636594,222415271,0.938521149182,0.938264271759,None,56037199,4.71724137932
u51p7uvm_s5fhku31,4026,0.8801542781209999,1.2.0,4026,0.6836159521240001,0.430400494963,0.8571634984540001,0.426763003491,0.701404233391,0.7781722203810001,0.578463204349,0.0035152079841500004,0.199030244714,0.0324499238726,0.0036631128689699997,0.021098985862500003,0.405591884335,0.58221780752,0.781248052234,0.115898692597,7011.0,3179.12995265,4755.99408665,176532371,0.9430902473109999,0.9445326288510001,None,38616800,7.68357580398
vcan8qd9_sr5u40yg,4332,0.882180512418,1.2.0,4332,0.659943599792,0.46268124856200005,0.8731640130689999,0.410482764507,0.677334271276,0.7743508864920001,0.5131103475959999,0.0035075305823200004,0.155778189775,0.029940564059200002,0.00878428556752,0.0215465676797,0.48360948338,0.664406067743,0.8201842575180001,0.11701763647399999,4531.5,2216.23009286,3296.80490852,170934789,0.9428297010969999,0.945446159235,None,30736766,7.68649885585
dhqzxpdk_h8em75r9,6244,0.8696612853200001,1.2.0,6244,0.492311467614,0.596747152074,0.946474595062,0.349727442987,0.509846510803,0.69560770827,0.684452814013,0.00485451415324,0.0903357834887,0.037274023736,0.0046756754715,0.04443314450040001,0.492931918583,0.6472180005979999,0.737553784087,0.0630487241537,5292.0,3054.0918147,4742.60727572,178702950,0.945546044566,0.942352103685,None,46899913,6.223264277719999
lacrul5e_67e3wsyf,3452,0.856237807553,1.2.0,3452,0.44075855851,0.607959371411,0.9404463081509999,0.33248693674,0.45857860772799997,0.6749509390170001,0.689771552597,0.00504829475892,0.114257555517,0.036657821382,0.00697465711374,0.051499010444599994,0.51197743238,0.663704687276,0.7779622427940001,0.0515474711972,8972.5,2808.3344546,4377.90722411,221333748,0.945179673044,0.9438240431489999,None,49144449,5.31515544042
