subproject,gem_id,library_id,library_name,type,donor_id
BCLLATLAS_05,jb6vuao4_g4vi9ur0,130339,BCLL_2_T_5K,not_hashed,BCLL-2-T
BCLLATLAS_05,izi9unx1_8qdzhivu,130340,BCLL_2_T_hashing,hashed_cdna,BCLL-2-T
BCLLATLAS_05,izi9unx1_8qdzhivu,130342,BCLL_2_T_HTO,hashed_hto,BCLL-2-T
BCLLATLAS_06,wkup7hvl_reo7jg84,135347,BCLL_8_T_5K,not_hashed,BCLL-8-T
BCLLATLAS_06,d8kwy76j_7blj9otf,135345,BCLL_8_T_1_hashing,hashed_cdna,BCLL-8-T
BCLLATLAS_06,d8kwy76j_7blj9otf,135348,BCLL_8_T_1_HTO,hashed_hto,BCLL-8-T
BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,BCLL-8-T
BCLLATLAS_06,giz3qso4_783dbpu6,135349,BCLL_8_T_2_HTO,hashed_hto,BCLL-8-T
BCLLATLAS_07,indj51br_urakqcmi,135392,BCLL_9_T_5K,not_hashed,BCLL-9-T
BCLLATLAS_07,umt51kfr_p8ei65ms,135390,BCLL_9_T_1_hashing,hashed_cdna,BCLL-9-T
BCLLATLAS_07,umt51kfr_p8ei65ms,135393,BCLL_9_T_1_HTO,hashed_hto,BCLL-9-T
BCLLATLAS_07,i5udk3x0_57gv6ncx,135391,BCLL_9_T_2_hashing,hashed_cdna,BCLL-9-T
BCLLATLAS_07,i5udk3x0_57gv6ncx,135394,BCLL_9_T_2_HTO,hashed_hto,BCLL-9-T
BCLLATLAS_16,odyctre0_4qtf9h1z,149643,BCLL_10_T_5K,not_hashed,BCLL-10-T
BCLLATLAS_16,bw94nf57_vm85woki,149641,BCLL_10_T_1_hashing,hashed_cdna,BCLL-10-T
BCLLATLAS_16,bw94nf57_vm85woki,149644,BCLL_10_T_1_HTO,hashed_hto,BCLL-10-T
BCLLATLAS_16,ggq3nifm_jkilwp1x,149642,BCLL_10_T_2_hashing,hashed_cdna,BCLL-10-T
BCLLATLAS_16,ggq3nifm_jkilwp1x,149645,BCLL_10_T_2_HTO,hashed_hto,BCLL-10-T
BCLLATLAS_19,lf02okcv_j85nmx31,154662,BCLL_11_T_5K,not_hashed,BCLL-11-T
BCLLATLAS_19,dvcbn9p8_ix0j3k8b,154660,BCLL_11_T_1_hashing,hashed_cdna,BCLL-11-T
BCLLATLAS_19,dvcbn9p8_ix0j3k8b,154663,BCLL_11_T_1_HTO,hashed_hto,BCLL-11-T
BCLLATLAS_19,ff8s19u3_7e96iusr,154661,BCLL_11_T_2_hashing,hashed_cdna,BCLL-11-T
BCLLATLAS_19,ff8s19u3_7e96iusr,154664,BCLL_11_T_2_HTO,hashed_hto,BCLL-11-T
BCLLATLAS_21,n1b3su0a_l7shyi35,155130,BCLL_6_T_1_hashing,hashed_cdna,BCLL-6-T
BCLLATLAS_21,n1b3su0a_l7shyi35,155133,BCLL_6_T_1_HTO,hashed_hto,BCLL-6-T
BCLLATLAS_21,md651vbh_eymr91s7,155131,BCLL_6_T_2_hashing,hashed_cdna,BCLL-6-T
BCLLATLAS_21,md651vbh_eymr91s7,155134,BCLL_6_T_2_HTO,hashed_hto,BCLL-6-T
BCLLATLAS_21,x739d5z1_dsamhgey,155136,BCLL_12_T_1_hashing,hashed_cdna,BCLL-12-T
BCLLATLAS_21,x739d5z1_dsamhgey,155138,BCLL_12_T_1_HTO,hashed_hto,BCLL-12-T
BCLLATLAS_21,dvdzq8et_eot75su8,155137,BCLL_12_T_2_hashing,hashed_cdna,BCLL-12-T
BCLLATLAS_21,dvdzq8et_eot75su8,155139,BCLL_12_T_2_HTO,hashed_hto,BCLL-12-T
BCLLATLAS_22,et5kifg3_0ufc6p4w,155140,BCLL_12_T_5K,not_hashed,BCLL-12-T
BCLLATLAS_25,hg9au5oq_9ih1c0vd,157944,BCLL_13_T_5K,not_hashed,BCLL-13-T
BCLLATLAS_25,wf4su8ny_h4yj8bv7,157942,BCLL_13_T_1_hashing,hashed_cdna,BCLL-13-T
BCLLATLAS_25,wf4su8ny_h4yj8bv7,157945,BCLL_13_T_1_HTO,hashed_hto,BCLL-13-T
BCLLATLAS_25,bz5rpwtv_kg7w108r,157943,BCLL_13_T_2_hashing,hashed_cdna,BCLL-13-T
BCLLATLAS_25,bz5rpwtv_kg7w108r,157946,BCLL_13_T_2_HTO,hashed_hto,BCLL-13-T
BCLLATLAS_34,v8g80gtx_ps9bamz7,173640,BCLL_14_T_1_hashing,hashed_cdna,BCLL-14-T
BCLLATLAS_34,v8g80gtx_ps9bamz7,173643,BCLL_14_T_1_HTO,hashed_hto,BCLL-14-T
BCLLATLAS_34,kjzv2rwx_sfomyxok,173641,BCLL_14_T_2_hashing,hashed_cdna,BCLL-14-T
BCLLATLAS_34,kjzv2rwx_sfomyxok,173644,BCLL_14_T_2_HTO,hashed_hto,BCLL-14-T
BCLLATLAS_34,y7qn780g_p6jkgk63,173642,BCLL_14_T_5K,not_hashed,BCLL-14-T
BCLLATLAS_41,z3of7uaq_mzbhy4tt,181961,BCLL_15_T_1_hashing,hashed_cdna,BCLL-15-T
BCLLATLAS_41,z3of7uaq_mzbhy4tt,181963,BCLL_15_T_1_HTO,hashed_hto,BCLL-15-T
BCLLATLAS_41,ejto2bae_y5mydeam,181962,BCLL_15_T_2_hashing,hashed_cdna,BCLL-15-T
BCLLATLAS_41,ejto2bae_y5mydeam,181964,BCLL_15_T_2_HTO,hashed_hto,BCLL-15-T
BCLLATLAS_54,altbaco5_45sf3wul,196579,BCLL_24_T_1_hashing,hashed_cdna,BCLL-24-T
BCLLATLAS_54,altbaco5_45sf3wul,196581,BCLL_24_T_1_hashing,hashed_hto,BCLL-24-T
BCLLATLAS_54,c3ftguo2_xxwxs507,196580,BCLL_24_T_2_hashing,hashed_cdna,BCLL-24-T
BCLLATLAS_54,c3ftguo2_xxwxs507,196582,BCLL_24_T_2_HTO,hashed_hto,BCLL-24-T
BCLLATLAS_57,p4b145yq_4z8crwqq,196583,BCLL_25_T_1_hashing,hashed_cdna,BCLL-25-T
BCLLATLAS_57,p4b145yq_4z8crwqq,196585,BCLL_25_T_1_HTO,hashed_hto,BCLL-25-T
BCLLATLAS_57,nqyw13tk_o7guqugw,196584,BCLL_25_T_2_hashing,hashed_cdna,BCLL-25-T
BCLLATLAS_57,nqyw13tk_o7guqugw,196586,BCLL_25_T_2_HTO,hashed_hto,BCLL-25-T
BCLLATLAS_131,xxfne43y_x9dh95oz,269369,BCLL_26_T_GEX_1,hashed_cdna,BCLL-26-T
BCLLATLAS_131,xxfne43y_x9dh95oz,269686,BCLL_26_HTO_1,hashed_hto,BCLL-26-T
BCLLATLAS_131,rfs8oamh_0obpdn7k,269370,BCLL_26_T_GEX_2,hashed_cdna,BCLL-26-T
BCLLATLAS_131,rfs8oamh_0obpdn7k,269687,BCLL_26_HTO_2,hashed_hto,BCLL-26-T
