project	subproject	id	SampleName	sample	library	SubprojectId	material	aliquot	flowcell	lane	index	libraryPassFail	LanePassFail	libApplication	Kit	Organism	Sex	pedigree	cohort	GenomeRef	SplitIndexcohort	SubprojectCov	motherId	fatherId	library__gbs_index__multiplex_index_name	readLength	sampleStatus	mappingVersion	mapperName	mapperVersion
BCLLATLAS	BCLLATLAS_131	269369	BCLL_26_T_GEX_1	AZ3069	AZ3069	8179	Cell suspension	None	HCNGWDMXY	1	SI-TT-D6	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +10+10+90	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_131	269369	BCLL_26_T_GEX_1	AZ3069	AZ3069	8179	Cell suspension	None	HCNGWDMXY	2	SI-TT-D6	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +10+10+90	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_131	269369	BCLL_26_T_GEX_1	AZ3069	AZ3069	8179	Cell suspension	None	HF5MLDMXY	1	SI-TT-D6	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +10+10+90	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_131	269369	BCLL_26_T_GEX_1	AZ3069	AZ3069	8179	Cell suspension	None	HF5MLDMXY	2	SI-TT-D6	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +10+10+90	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_131	269370	BCLL_26_T_GEX_2	AZ3070	AZ3070	8179	Cell suspension	None	HCNGWDMXY	1	SI-TT-D7	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +10+10+90	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_131	269370	BCLL_26_T_GEX_2	AZ3070	AZ3070	8179	Cell suspension	None	HCNGWDMXY	2	SI-TT-D7	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +10+10+90	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_131	269370	BCLL_26_T_GEX_2	AZ3070	AZ3070	8179	Cell suspension	None	HF5MLDMXY	1	SI-TT-D7	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +10+10+90	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_131	269370	BCLL_26_T_GEX_2	AZ3070	AZ3070	8179	Cell suspension	None	HF5MLDMXY	2	SI-TT-D7	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +10+10+90	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_132	269686	BCLL_26_HTO_1	AZ3071	AZ3071	8180	Cell suspension	None	HCNHVDMXY	1	SI-NT-A3	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	20.000	None	None	None	1 * 28 +10+10+90	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_132	269686	BCLL_26_HTO_1	AZ3071	AZ3071	8180	Cell suspension	None	HCNHVDMXY	2	SI-NT-A3	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	20.000	None	None	None	1 * 28 +10+10+90	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_132	269687	BCLL_26_HTO_2	AZ3072	AZ3072	8180	Cell suspension	None	HCNHVDMXY	1	SI-NT-A4	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	20.000	None	None	None	1 * 28 +10+10+90	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_132	269687	BCLL_26_HTO_2	AZ3072	AZ3072	8180	Cell suspension	None	HCNHVDMXY	2	SI-NT-A4	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	20.000	None	None	None	1 * 28 +10+10+90	Unaffected	None	None	None
