library_id,fastq_path,read,pair_id,type
196579,/scratch/project/production/fastq/H2JYNDRXY/1/fastq/H2JYNDRXY_1_SI-GA-F6_1.fastq.gz,R1,P1,hashed_cdna
196579,/scratch/project/production/fastq/H2JYNDRXY/2/fastq/H2JYNDRXY_2_SI-GA-F6_1.fastq.gz,R1,P2,hashed_cdna
196579,/scratch/project/production/fastq/HYVGVDRXX/1/fastq/HYVGVDRXX_1_SI-GA-F6_1.fastq.gz,R1,P3,hashed_cdna
196579,/scratch/project/production/fastq/HYVGVDRXX/2/fastq/HYVGVDRXX_2_SI-GA-F6_1.fastq.gz,R1,P4,hashed_cdna
196580,/scratch/project/production/fastq/H2JYNDRXY/1/fastq/H2JYNDRXY_1_SI-GA-F7_1.fastq.gz,R1,P5,hashed_cdna
196580,/scratch/project/production/fastq/H2JYNDRXY/2/fastq/H2JYNDRXY_2_SI-GA-F7_1.fastq.gz,R1,P6,hashed_cdna
196580,/scratch/project/production/fastq/HYVGVDRXX/1/fastq/HYVGVDRXX_1_SI-GA-F7_1.fastq.gz,R1,P7,hashed_cdna
196580,/scratch/project/production/fastq/HYVGVDRXX/2/fastq/HYVGVDRXX_2_SI-GA-F7_1.fastq.gz,R1,P8,hashed_cdna
196581,/scratch/project/production/fastq/HYVGVDRXX/1/fastq/HYVGVDRXX_1_IlluminaTruSeqD701_1.fastq.gz,R1,P9,hashed_hto
196581,/scratch/project/production/fastq/HYVGVDRXX/2/fastq/HYVGVDRXX_2_IlluminaTruSeqD701_1.fastq.gz,R1,P10,hashed_hto
196582,/scratch/project/production/fastq/HYVGVDRXX/1/fastq/HYVGVDRXX_1_IlluminaTruSeqD702_1.fastq.gz,R1,P11,hashed_hto
196582,/scratch/project/production/fastq/HYVGVDRXX/2/fastq/HYVGVDRXX_2_IlluminaTruSeqD702_1.fastq.gz,R1,P12,hashed_hto
196579,/scratch/project/production/fastq/H2JYNDRXY/1/fastq/H2JYNDRXY_1_SI-GA-F6_2.fastq.gz,R2,P1,hashed_cdna
196579,/scratch/project/production/fastq/H2JYNDRXY/2/fastq/H2JYNDRXY_2_SI-GA-F6_2.fastq.gz,R2,P2,hashed_cdna
196579,/scratch/project/production/fastq/HYVGVDRXX/1/fastq/HYVGVDRXX_1_SI-GA-F6_2.fastq.gz,R2,P3,hashed_cdna
196579,/scratch/project/production/fastq/HYVGVDRXX/2/fastq/HYVGVDRXX_2_SI-GA-F6_2.fastq.gz,R2,P4,hashed_cdna
196580,/scratch/project/production/fastq/H2JYNDRXY/1/fastq/H2JYNDRXY_1_SI-GA-F7_2.fastq.gz,R2,P5,hashed_cdna
196580,/scratch/project/production/fastq/H2JYNDRXY/2/fastq/H2JYNDRXY_2_SI-GA-F7_2.fastq.gz,R2,P6,hashed_cdna
196580,/scratch/project/production/fastq/HYVGVDRXX/1/fastq/HYVGVDRXX_1_SI-GA-F7_2.fastq.gz,R2,P7,hashed_cdna
196580,/scratch/project/production/fastq/HYVGVDRXX/2/fastq/HYVGVDRXX_2_SI-GA-F7_2.fastq.gz,R2,P8,hashed_cdna
196581,/scratch/project/production/fastq/HYVGVDRXX/1/fastq/HYVGVDRXX_1_IlluminaTruSeqD701_2.fastq.gz,R2,P9,hashed_hto
196581,/scratch/project/production/fastq/HYVGVDRXX/2/fastq/HYVGVDRXX_2_IlluminaTruSeqD701_2.fastq.gz,R2,P10,hashed_hto
196582,/scratch/project/production/fastq/HYVGVDRXX/1/fastq/HYVGVDRXX_1_IlluminaTruSeqD702_2.fastq.gz,R2,P11,hashed_hto
196582,/scratch/project/production/fastq/HYVGVDRXX/2/fastq/HYVGVDRXX_2_IlluminaTruSeqD702_2.fastq.gz,R2,P12,hashed_hto
