subproject,gemid,fastq,fastq_path,read,type,sample,library_id
BCLLATLAS_51,exvyh1_66caqq,exvyh1_66caqq_S1_L002_R1_001.fastq.gz,/scratch/project/production/fastq/HW5WWDRXX/2/fastq/HW5WWDRXX_2_SI-TT-D12_1.fastq.gz,1,visium,AS6172,191591
BCLLATLAS_51,exvyh1_66caqq,exvyh1_66caqq_S1_L002_R2_001.fastq.gz,/scratch/project/production/fastq/HW5WWDRXX/2/fastq/HW5WWDRXX_2_SI-TT-D12_2.fastq.gz,2,visium,AS6172,191591
BCLLATLAS_51,exvyh1_66caqq,exvyh1_66caqq_S3_L001_R1_001.fastq.gz,/scratch/project/production/fastq/HW5WWDRXX/1/fastq/HW5WWDRXX_1_SI-TT-D12_1.fastq.gz,1,visium,AS6172,191591
BCLLATLAS_51,exvyh1_66caqq,exvyh1_66caqq_S3_L001_R2_001.fastq.gz,/scratch/project/production/fastq/HW5WWDRXX/1/fastq/HW5WWDRXX_1_SI-TT-D12_2.fastq.gz,2,visium,AS6172,191591
BCLLATLAS_51,gcyl7c_cec61b,gcyl7c_cec61b_S1_L001_R1_001.fastq.gz,/scratch/project/production/fastq/HW5WWDRXX/1/fastq/HW5WWDRXX_1_SI-TT-D9_1.fastq.gz,1,visium,AS6169,191588
BCLLATLAS_51,gcyl7c_cec61b,gcyl7c_cec61b_S1_L001_R2_001.fastq.gz,/scratch/project/production/fastq/HW5WWDRXX/1/fastq/HW5WWDRXX_1_SI-TT-D9_2.fastq.gz,2,visium,AS6169,191588
BCLLATLAS_51,gcyl7c_cec61b,gcyl7c_cec61b_S2_L002_R1_001.fastq.gz,/scratch/project/production/fastq/HW5WWDRXX/2/fastq/HW5WWDRXX_2_SI-TT-D9_1.fastq.gz,1,visium,AS6169,191588
BCLLATLAS_51,gcyl7c_cec61b,gcyl7c_cec61b_S2_L002_R2_001.fastq.gz,/scratch/project/production/fastq/HW5WWDRXX/2/fastq/HW5WWDRXX_2_SI-TT-D9_2.fastq.gz,2,visium,AS6169,191588
BCLLATLAS_51,qvwc8t_2vsr67,qvwc8t_2vsr67_S4_L001_R1_001.fastq.gz,/scratch/project/production/fastq/HW5WWDRXX/1/fastq/HW5WWDRXX_1_SI-TT-D11_1.fastq.gz,1,visium,AS6171,191590
BCLLATLAS_51,qvwc8t_2vsr67,qvwc8t_2vsr67_S4_L001_R2_001.fastq.gz,/scratch/project/production/fastq/HW5WWDRXX/1/fastq/HW5WWDRXX_1_SI-TT-D11_2.fastq.gz,2,visium,AS6171,191590
BCLLATLAS_51,qvwc8t_2vsr67,qvwc8t_2vsr67_S4_L002_R1_001.fastq.gz,/scratch/project/production/fastq/HW5WWDRXX/2/fastq/HW5WWDRXX_2_SI-TT-D11_1.fastq.gz,1,visium,AS6171,191590
BCLLATLAS_51,qvwc8t_2vsr67,qvwc8t_2vsr67_S4_L002_R2_001.fastq.gz,/scratch/project/production/fastq/HW5WWDRXX/2/fastq/HW5WWDRXX_2_SI-TT-D11_2.fastq.gz,2,visium,AS6171,191590
BCLLATLAS_51,zrt7gl_lhyyar,zrt7gl_lhyyar_S2_L001_R1_001.fastq.gz,/scratch/project/production/fastq/HW5WWDRXX/1/fastq/HW5WWDRXX_1_SI-TT-D10_1.fastq.gz,1,visium,AS6170,191589
BCLLATLAS_51,zrt7gl_lhyyar,zrt7gl_lhyyar_S2_L001_R2_001.fastq.gz,/scratch/project/production/fastq/HW5WWDRXX/1/fastq/HW5WWDRXX_1_SI-TT-D10_2.fastq.gz,2,visium,AS6170,191589
BCLLATLAS_51,zrt7gl_lhyyar,zrt7gl_lhyyar_S3_L002_R1_001.fastq.gz,/scratch/project/production/fastq/HW5WWDRXX/2/fastq/HW5WWDRXX_2_SI-TT-D10_1.fastq.gz,1,visium,AS6170,191589
BCLLATLAS_51,zrt7gl_lhyyar,zrt7gl_lhyyar_S3_L002_R2_001.fastq.gz,/scratch/project/production/fastq/HW5WWDRXX/2/fastq/HW5WWDRXX_2_SI-TT-D10_2.fastq.gz,2,visium,AS6170,191589
