rowname curveNumber pointNumber    x     y
1             0           0 2573 -2185
2             0           1 2401  -837
3             0           3 2466 -2597
4             0           6 2165 -2747
5             0           8 2078 -1624
6             0           9 2337 -2747
7             0          11 2638 -2972
8             0          16 2401 -1961
9             0          17 2272  -837
10            0          20 2251 -2747
11            0          22 2552 -2298
12            0          27 2229  -837
13            0          28 2401 -1287
14            0          33 2380 -2223
15            0          40 2444 -1811
16            0          42 2358 -2036
17            0          43 2143 -2635
18            0          45 2358  -912
19            0          48 2014 -1212
20            0          51 2401 -2335
21            0          52 2358 -2185
22            0          59 2358 -2560
23            0          60 2358  -762
24            0          61 2380 -1624
25            0          65 2832 -2859
26            0          68 2035 -1624
27            0          70 2100 -1661
28            0          72 2315 -1287
29            0          78 2121 -2447
30            0          80 2250 -1324
31            0          83 2358 -1287
32            0          84 2121 -1249
33            0          85 2358 -1961
34            0          92 2100 -2260
35            0          93 2208 -2447
36            0          98 2530 -3084
37            0         100 2229 -2110
38            0         105 2487 -2335
39            0         107 2078 -1773
40            0         108 2358 -1511
41            0         110 2057 -1961
42            0         112 2379 -1174
43            0         116 2703 -2859
44            0         120 2294 -3122
45            0         121 2336 -1174
46            0         123 2164 -1998
47            0         124 2573 -2710
48            0         125 2336  -800
49            0         126 2466 -2672
50            0         127 2143 -2185
51            0         128 2186 -1961
52            0         138 2466 -2223
53            0         139 2143 -1361
54            0         141 2315 -1961
55            0         149 2509 -2522
56            0         150 2423 -2897
57            0         151 2251 -2298
58            0         154 2444 -3159
59            0         158 2121 -1998
60            0         160 2509 -3047
61            0         161 2466 -2747
62            0         167 2401 -2110
63            0         170 2229 -1436
64            0         173 2530 -2560
65            0         179 2509 -2897
66            0         180 2186 -2110
67            0         184 2358 -1661
68            0         186 2487 -2035
69            0         190 2380 -2972
70            0         192 2100 -1137
71            0         196 2573 -2410
72            0         199 2573 -3009
73            0         204 2552 -3047
74            0         210 2466 -2972
75            0         216 2423 -2747
76            0         221 1970  -837
77            0         226 2315 -2934
78            0         227 2767 -2822
79            0         228 2057 -1661
80            0         229 2057 -1886
81            0         230 2466 -2897
82            0         232 2380 -2447
83            0         233 2164 -2073
84            0         240 2315 -1661
85            0         242 2315 -2036
86            0         243 2121 -2223
87            0         249 2444 -3084
88            0         250 2272 -1736
89            0         254 2509 -3121
90            0         255 2487 -1511
91            0         259 2466 -2148
92            0         264 2272 -1287
93            0         269 2552 -2223
94            0         272 2143 -2036
95            0         274 2466 -1099
96            0         279 2380 -1848
97            0         282 2121 -2298
98            0         285 2423 -2223
99            0         287 2638 -2822
100           0         288 2294 -2672
101           0         289 2121 -1174
102           0         298 2358 -1212
